date,all_load
2010-10-01,8725.44770427698
2010-10-02,7975.573687669863
2010-10-03,7365.693604549482
2010-10-04,7582.373188538897
2010-10-05,8438.786676610307
2010-10-06,8635.817164674132
2010-10-07,8376.002538946892
2010-10-08,8500.87761034235
2010-10-09,7942.789961443653
2010-10-10,7314.661561963422
2010-10-11,8318.494865393852
2010-10-12,8869.669119250297
2010-10-13,8411.802626421353
2010-10-14,8663.932417914684
2010-10-15,8531.472618126054
2010-10-16,7963.6330777717885
2010-10-17,7460.53216355963
2010-10-18,8309.9991049383
2010-10-19,8876.193992320204
2010-10-20,8482.992193392802
2010-10-21,8555.748642479304
2010-10-22,8328.31653492899
2010-10-23,7902.99319168126
2010-10-24,7532.943618139274
2010-10-25,8366.933455226028
2010-10-26,8780.319847222801
2010-10-27,8323.359260427635
2010-10-28,8391.978828257035
2010-10-29,8377.846052387278
2010-10-30,7923.348132572146
2010-10-31,7232.055143106695
