date,residual
2008-02-05,-310.9684243034226
2008-02-06,-497.4920858073583
2008-02-07,-819.3681796001765
2008-02-08,-658.6062595051753
2008-02-09,-370.82324882344255
2008-02-10,-220.93490527160247
2008-02-11,150.0953703015457
2008-02-12,315.68340392807113
2008-02-13,323.1274423816558
2008-02-14,83.35891814244133
2008-02-15,227.85796988508991
2008-02-16,378.80551198727153
2008-02-17,-71.98662425993462
2008-02-18,65.31313859779948
2008-02-19,13.468380777074344
2008-02-20,-71.32141597186819
2008-02-21,-122.50076931872536
2008-02-22,297.72053643230174
2008-02-23,478.09887147983864
2008-02-24,-203.08965789879585
2008-02-25,-202.68968718591714
2008-02-26,-45.7666400127855
2008-02-27,19.161912882427714
2008-02-28,-36.301841736232745
2008-02-29,46.52341666054417
2008-03-01,60.80900406415094
2008-03-02,-336.0004897123472
2008-03-03,-206.60062403193842
2008-03-04,-24.429427361817943
2008-03-05,114.16117686961843
2008-03-06,124.72412201024417
2008-03-07,201.23565905523537
2008-03-08,321.56096109372993
2008-03-09,-107.57277283058465
2008-03-10,0.4168870068642718
2008-03-11,23.962556339700313
2008-03-12,-26.889589579961466
2008-03-13,-69.26823251874339
2008-03-14,139.37013115085392
2008-03-15,252.9064300581922
2008-03-16,-34.36521608427938
2008-03-17,118.37065871976665
2008-03-18,137.14123982681667
2008-03-19,53.49105957039137
2008-03-20,-49.316594001868
2008-03-21,-60.59272503421744
2008-03-22,159.24648162252925
2008-03-23,-235.19073866035615
2008-03-24,-293.0510030276
2008-03-25,-85.67566729457394
2008-03-26,-44.00399587501852
2008-03-27,-30.81527401323183
2008-03-28,216.99793060358388
2008-03-29,301.24160945723816
2008-03-30,-136.91275179783224
2008-03-31,-55.77139523392907
2008-04-01,-70.09045135037195
2008-04-02,-266.6740724431529
2008-04-03,-286.62993400793675
2008-04-04,10.437748969059612
2008-04-05,13.822250215111126
2008-04-06,-157.51444876546338
2008-04-07,-15.98971485715083
2008-04-08,39.06842750182659
2008-04-09,47.837306064850054
2008-04-10,276.0415531516337
2008-04-11,176.01278211114368
2008-04-12,288.80192778253695
2008-04-13,192.37465361087197
2008-04-14,60.723217081635084
2008-04-15,79.94184754083835
2008-04-16,63.89964556083942
2008-04-17,5.172804990779696
2008-04-18,152.77639937917775
2008-04-19,279.41656348169636
2008-04-20,-26.797447462278797
2008-04-21,47.509933535924574
2008-04-22,92.15128184610148
2008-04-23,50.28091278718057
2008-04-24,-78.09343331897071
2008-04-25,-27.714203585042924
2008-04-26,-10.909799120008756
2008-04-27,-200.2177537874013
2008-04-28,-33.68072076094177
2008-04-29,-14.60190340562076
2008-04-30,-20.29386634848197
2008-05-01,-109.64718540031208
2008-05-02,29.616102112084263
2008-05-03,179.1504902491979
2008-05-04,-126.39749324081458
2008-05-05,-44.1511043036262
2008-05-06,16.95784599107901
2008-05-07,-29.556809951571267
2008-05-08,-97.98366217610055
2008-05-09,27.578760425058135
2008-05-10,138.35793209986514
2008-05-11,-222.6625379701327
2008-05-12,-124.60779707242
2008-05-13,-27.969961230137415
2008-05-14,-37.185075138662796
2008-05-15,-95.80434957758735
2008-05-16,92.45218896368533
2008-05-17,200.76240358854193
2008-05-18,-65.6632351586868
2008-05-19,19.419392022971806
2008-05-20,50.899880279284844
2008-05-21,27.617992130813946
2008-05-22,-19.669970467126404
2008-05-23,221.1198115308125
2008-05-24,345.57404502249665
2008-05-25,23.377475010463968
2008-05-26,82.4003594151709
2008-05-27,26.82029056040119
2008-05-28,6.4781469898007344
2008-05-29,-101.11920144237047
2008-05-30,-26.775838954856226
2008-05-31,113.53831058735341
2008-06-01,-185.30154002041127
2008-06-02,-64.89382203529931
2008-06-03,7.554546463050428
2008-06-04,-14.589039725127805
2008-06-05,-52.91079844874184
2008-06-06,56.936365962312266
2008-06-07,197.48282491714417
2008-06-08,141.01099007290577
2008-06-09,-269.1507230182633
2008-06-10,-244.3574882113553
2008-06-11,-322.5061031257628
2008-06-12,-404.4863220937259
2008-06-13,-155.44782477127046
2008-06-14,-78.88041187822455
2008-06-15,-191.5608060552513
2008-06-16,-237.46223864589228
2008-06-17,-184.52281135615522
2008-06-18,-229.68040648860006
2008-06-19,-236.9917657036076
2008-06-20,-74.19024331609035
2008-06-21,158.2677863212084
2008-06-22,-68.04457651688426
2008-06-23,13.086822324807144
2008-06-24,-83.22391995734324
2008-06-25,-182.46794301595037
2008-06-26,-203.01267442191784
2008-06-27,31.582742342508936
2008-06-28,267.72723454601874
2008-06-29,31.592227528359217
2008-06-30,137.10698976122694
2008-07-01,248.22560150883146
2008-07-02,203.34458813516176
2008-07-03,-24.795856857168474
2008-07-04,127.79523102833264
2008-07-05,218.39424946077816
2008-07-06,-311.42277125275905
2008-07-07,-205.7801897566842
2008-07-08,-105.74462502625829
2008-07-09,-32.28808155257866
2008-07-10,-49.79808123432667
2008-07-11,20.034586286039485
2008-07-12,183.5166137092292
2008-07-13,-104.30225971387154
2008-07-14,-186.25543303242557
2008-07-15,-124.951619113368
2008-07-16,-103.42044511959466
2008-07-17,-120.35415354205907
2008-07-18,33.098811942123575
2008-07-19,276.6466484718894
2008-07-20,3.95800703434179
2008-07-21,155.6636322148479
2008-07-22,388.92509214015445
2008-07-23,243.63029333931627
2008-07-24,13.43619166327153
2008-07-25,144.09152359972904
2008-07-26,111.55640878125269
2008-07-27,-73.80489968950496
2008-07-28,158.62600125597783
2008-07-29,115.05193708076513
2008-07-30,-29.766657425730955
2008-07-31,-112.9435732460297
2008-08-01,72.81605972001125
2008-08-02,261.12777471312984
