date,load
12/5/2009,8320.16
12/5/2009,8126.44
12/5/2009,8006.09
12/5/2009,8010.58
12/5/2009,7896.15
12/5/2009,7700.25
12/5/2009,7525.83
12/6/2009,7339.44
12/6/2009,7158.21
12/6/2009,6965.36
12/6/2009,6701.79
12/6/2009,6501.05
12/6/2009,6324.75
12/6/2009,6267.66
12/6/2009,6208.16
12/6/2009,6218.05
12/6/2009,6271.36
12/6/2009,6208.55
12/6/2009,6318.14
12/6/2009,6540.23
12/6/2009,6794.96
12/6/2009,7160.35
12/6/2009,7552.66
12/6/2009,7877.99
12/6/2009,8189.68
12/6/2009,8449.7
12/6/2009,8590.15
12/6/2009,8688.11
12/6/2009,8732.75
12/6/2009,8815.11
12/6/2009,8786.86
12/6/2009,8831.15
12/6/2009,8860.58
12/6/2009,8887.18
12/6/2009,8925.78
12/6/2009,8960.89
12/6/2009,9073.07
12/6/2009,9091.3
12/6/2009,9167.36
12/6/2009,9190.24
12/6/2009,9101.87
12/6/2009,9130.95
12/6/2009,9127.6
12/6/2009,9032.71
12/6/2009,8907.67
12/6/2009,8894.45
12/6/2009,8970.61
12/6/2009,9045.82
12/6/2009,8817.26
12/6/2009,8559.01
12/6/2009,8449.48
12/6/2009,8270.02
12/6/2009,8061.15
12/6/2009,7856.55
12/6/2009,7643.06
12/7/2009,7489.28
12/7/2009,7281.69
12/7/2009,7154.27
12/7/2009,6948.97
12/7/2009,6766.51
12/7/2009,6631.4
12/7/2009,6569.61
12/7/2009,6590.38
12/7/2009,6631.35
12/7/2009,6942.13
12/7/2009,7144.01
12/7/2009,7765.36
12/7/2009,8414.01
12/7/2009,8923.78
12/7/2009,9546.55
12/7/2009,9923.74
12/7/2009,10237.98
12/7/2009,10597.44
12/7/2009,10815.01
12/7/2009,10998.65
12/7/2009,11115.25
12/7/2009,11273.52
12/7/2009,11471.28
12/7/2009,11652.1
12/7/2009,11762.52
12/7/2009,11919.35
12/7/2009,12019.95
12/7/2009,12168.76
12/7/2009,12343.6
12/7/2009,12416.53
12/7/2009,12560.9
12/7/2009,12702.14
12/7/2009,12737.34
12/7/2009,12688.52
12/7/2009,12530.15
12/7/2009,12198.15
12/7/2009,11773.1
12/7/2009,11411.45
12/7/2009,11201.93
12/7/2009,11129.88
12/7/2009,10994.99
12/7/2009,10576.89
12/7/2009,9997.5
12/7/2009,9739.35
12/7/2009,9262.11
12/7/2009,9009.72
12/7/2009,8743.37
12/7/2009,8411.99
12/8/2009,8188.17
12/8/2009,7961.97
12/8/2009,7673.02
12/8/2009,7413.98
12/8/2009,7135.46
12/8/2009,6977.07
12/8/2009,6921.86
12/8/2009,6892.34
12/8/2009,6976.11
12/8/2009,7170.38
12/8/2009,7433.26
12/8/2009,8031.56
12/8/2009,8635.56
12/8/2009,9079.63
12/8/2009,9569.25
12/8/2009,9907.59
12/8/2009,10062.9
12/8/2009,10379.11
12/8/2009,10628.46
12/8/2009,10827.79
12/8/2009,10982.59
12/8/2009,11080.57
12/8/2009,11191.61
12/8/2009,11302.91
12/8/2009,11515.19
12/8/2009,11608.77
12/8/2009,11804.12
12/8/2009,11971.18
12/8/2009,12030.87
12/8/2009,12112.1
12/8/2009,12237.6
12/8/2009,12214.27
12/8/2009,12139.69
12/8/2009,11988.44
12/8/2009,11780.99
12/8/2009,11301.18
12/8/2009,10981.16
12/8/2009,10564.72
12/8/2009,10339.92
12/8/2009,10317.79
12/8/2009,10135.4
12/8/2009,9697.34
12/8/2009,9220.14
12/8/2009,9082.47
12/8/2009,8816.73
12/8/2009,8623.33
12/8/2009,8446.2
12/8/2009,8200.36
12/9/2009,8033.32
12/9/2009,7810.37
12/9/2009,7532.68
12/9/2009,7236.42
12/9/2009,6943.29
12/9/2009,6769.37
12/9/2009,6680.98
12/9/2009,6691.15
12/9/2009,6752.61
12/9/2009,6989.42
12/9/2009,7263.55
12/9/2009,7834.42
12/9/2009,8452.77
12/9/2009,8851.79
12/9/2009,9302.26
12/9/2009,9507.86
12/9/2009,9643.05
12/9/2009,9874.16
12/9/2009,9993.57
12/9/2009,10118.57
12/9/2009,10174.3
12/9/2009,10197.76
12/9/2009,10213.01
12/9/2009,10236.26
12/9/2009,10160.95
12/9/2009,10183.41
12/9/2009,10176.3
12/9/2009,10226.43
12/9/2009,10251.69
12/9/2009,10191.87
12/9/2009,10206.22
12/9/2009,10232.76
12/9/2009,10241
12/9/2009,10133.79
12/9/2009,9994.66
12/9/2009,9668.62
12/9/2009,9490.77
12/9/2009,9314.32
12/9/2009,9185.87
12/9/2009,9302.43
12/9/2009,9401.81
12/9/2009,9198.31
12/9/2009,8903.89
12/9/2009,8903.79
12/9/2009,8738.09
12/9/2009,8593.35
12/9/2009,8393.39
12/9/2009,8189.83
12/10/2009,7972.1
12/10/2009,7741.16
12/10/2009,7509.37
