date,season
2007-12-06,511.3477662580731
2007-12-07,419.38408718831454
2007-12-08,-1058.5073013902818
2007-12-09,-648.5484224300727
2007-12-10,130.89229375239185
2007-12-11,-57.76928716443862
2007-12-12,-174.61357006547018
2007-12-13,-134.87658335464894
2007-12-14,-232.21795953891453
2007-12-15,-894.576147087661
2007-12-16,-994.9756828439382
2007-12-17,-427.06493233673996
2007-12-18,-467.1528273472881
2007-12-19,5.751823649922527
2007-12-20,50.53256217036876
2007-12-21,145.5988141768635
2007-12-22,-1195.2465377681112
2007-12-23,-1557.0991702800204
2007-12-24,-1318.6709515440375
2007-12-25,-2208.3069830325944
2007-12-26,-2052.396358681575
2007-12-27,-1037.142862188896
2007-12-28,-767.958411628347
2007-12-29,-851.0510608107589
2007-12-30,-1014.1068673947608
2007-12-31,-658.9668846738089
2008-01-01,-1078.9233145454436
2008-01-02,-309.95076872031194
2008-01-03,-470.4464969075038
2008-01-04,-563.5243628311518
2008-01-05,-989.3902601224181
2008-01-06,-216.94401652088618
2008-01-07,512.4691523249053
2008-01-08,483.79003288601604
2008-01-09,198.81058337988077
2008-01-10,254.38208538680848
2008-01-11,94.95297821173352
2008-01-12,-611.141712989642
2008-01-13,-416.45677224901965
2008-01-14,-3.3083857356417052
2008-01-15,652.4392710080933
2008-01-16,977.822638600924
2008-01-17,178.17575972483547
2008-01-18,-400.8992914745465
2008-01-19,-1130.639645345321
2008-01-20,-634.8817691873088
2008-01-21,130.95845402688786
2008-01-22,49.097296528782124
2008-01-23,-84.11255260052062
2008-01-24,392.80046059308313
2008-01-25,361.3288777841468
2008-01-26,-1009.23214677951
2008-01-27,-882.9809899780671
2008-01-28,-319.584440851481
2008-01-29,1156.716883049939
2008-01-30,1486.6871606396537
2008-01-31,1490.9662660705726
2008-02-01,374.08667004034237
2008-02-02,-492.5121105651498
2008-02-03,-275.088160676398
2008-02-04,403.41610658545864
2008-02-05,489.54272683101794
2008-02-06,707.6377964848563
2008-02-07,769.14179297529
2008-02-08,282.2250974483166
2008-02-09,-711.453293482489
2008-02-10,-1157.1101401625751
2008-02-11,-447.6428965815884
2008-02-12,-327.8924110079
2008-02-13,-550.7827878596562
2008-02-14,-246.45256450805954
2008-02-15,-440.8015530242995
2008-02-16,-1410.7457402717282
2008-02-17,-1163.2711261923525
2008-02-18,-188.77808870400617
2008-02-19,48.108868831940875
2008-02-20,288.644937918592
2008-02-21,420.2148957586617
2008-02-22,128.78541742903252
2008-02-23,-1270.379449044712
2008-02-24,-1022.0141453170953
2008-02-25,7.285337213025775
2008-02-26,266.81233506043696
2008-02-27,-16.851832981819577
2008-02-28,-88.65456941546269
2008-02-29,-492.31262407851864
2008-03-01,-1199.5712747296434
2008-03-02,-1027.9765649843232
2008-03-03,-87.54750572099151
2008-03-04,33.83436481924351
2008-03-05,-155.53775404005572
2008-03-06,166.7994819152443
2008-03-07,-150.37536416541158
2008-03-08,-1249.3713904962856
2008-03-09,-985.0428354393982
2008-03-10,126.90854646644806
2008-03-11,350.7431211983642
2008-03-12,370.56459113434494
2008-03-13,592.3225698814784
2008-03-14,312.14720495982374
2008-03-15,-586.7789681266028
2008-03-16,-726.7001271295749
2008-03-17,172.67571094673025
2008-03-18,323.5013252876415
2008-03-19,223.5523719563203
2008-03-20,433.26699931131185
2008-03-21,-1312.9498483208527
2008-03-22,-1473.7765845779747
2008-03-23,-1374.9822758004657
2008-03-24,-870.861952752898
2008-03-25,-52.982133794501685
2008-03-26,-101.78140029858277
2008-03-27,-300.45622218341657
2008-03-28,-604.9504125578953
2008-03-29,-1398.1800812129782
2008-03-30,-1268.8170371456677
2008-03-31,-328.22952831550356
2008-04-01,-157.8879899120569
2008-04-02,64.4535102339655
2008-04-03,-3.9709930939161775
2008-04-04,-340.3461388374425
2008-04-05,-1066.185928398503
2008-04-06,-1127.026805742168
2008-04-07,-257.21690131532847
2008-04-08,-231.30492591816866
2008-04-09,-254.99450542005343
2008-04-10,-424.1957463532569
2008-04-11,-401.6319905142932
2008-04-12,-1274.6383846914202
2008-04-13,-1423.7606352263665
2008-04-14,-352.47249313188695
2008-04-15,-186.6228025202411
2008-04-16,-258.3122058048209
2008-04-17,-90.19248511746221
2008-04-18,-282.68853547587537
2008-04-19,-1093.5353104948165
2008-04-20,-1040.4798771339508
2008-04-21,-222.63397088540586
2008-04-22,-70.51886023746755
2008-04-23,-74.64173850276768
2008-04-24,21.394261038473026
2008-04-25,-1002.1819470951273
2008-04-26,-1069.2942620114682
2008-04-27,-1019.6324605880546
2008-04-28,103.94774435481946
2008-04-29,501.28993274318407
2008-04-30,459.6972497643777
2008-05-01,484.3468863392036
2008-05-02,32.46978584529188
2008-05-03,-695.3140193487566
2008-05-04,-576.4813222941724
2008-05-05,212.75586506953942
2008-05-06,292.89637437327906
2008-05-07,113.89943899327267
2008-05-08,319.09170776816575
2008-05-09,82.14101269595673
2008-05-10,-714.4829045040439
2008-05-11,-680.9474880200623
2008-05-12,76.18836297092017
2008-05-13,214.59125582422877
2008-05-14,234.90672193512196
2008-05-15,284.6748244388633
2008-05-16,-17.17473077973444
2008-05-17,-621.7661809644677
2008-05-18,-307.20845997417416
2008-05-19,336.80812967671625
2008-05-20,425.78842716259516
2008-05-21,462.47459797856976
2008-05-22,570.7980950394366
2008-05-23,271.59159065971215
2008-05-24,-524.1741058732405
2008-05-25,-367.8868644676474
2008-05-26,231.6482599062692
2008-05-27,350.95032243462947
2008-05-28,457.9425809455817
2008-05-29,590.8195814757289
2008-05-30,434.2438910004154
2008-05-31,-339.21715068487987
2008-06-01,-153.86614366548906
2008-06-02,452.1971019289392
2008-06-03,572.778953237315
2008-06-04,535.1777024544106
2008-06-05,639.0741997798608
2008-06-06,361.4605500195167
2008-06-07,-438.22193368476127
2008-06-08,-636.3958590919788
2008-06-09,-262.553375243113
2008-06-10,654.6332121614914
2008-06-11,695.1865622739268
2008-06-12,672.7710602440609
2008-06-13,621.0672867089675
2008-06-14,461.3618089513724
2008-06-15,306.4579525185573
2008-06-16,867.5222770124223
2008-06-17,745.7533691412303
2008-06-18,688.6942622511139
2008-06-19,747.2492486254105
2008-06-20,580.9289392417506
2008-06-21,-300.8993423329815
2008-06-22,-77.74026613092391
2008-06-23,906.0803686929488
2008-06-24,1113.9462324072556
2008-06-25,1067.7139122368471
2008-06-26,1142.6519455352752
2008-06-27,869.9416703699693
2008-06-28,-10.752567653890882
2008-06-29,-134.63078149812387
2008-06-30,551.1691551876045
2008-07-01,541.3332493969468
2008-07-02,499.8606409436592
2008-07-03,962.3840669431169
2008-07-04,1112.8300810095266
2008-07-05,73.94439778459457
2008-07-06,253.8759703381171
2008-07-07,970.0207679675192
2008-07-08,1190.856141800021
2008-07-09,1567.9220575688857
2008-07-10,1619.6800268499815
2008-07-11,1363.3637058861657
2008-07-12,575.8068028932985
2008-07-13,401.7699942106297
2008-07-14,914.3191668056487
2008-07-15,962.7988435283169
2008-07-16,1049.5833968847883
2008-07-17,1234.2360301222138
2008-07-18,1019.0136352398922
2008-07-19,183.91622107446076
2008-07-20,331.09039576093636
2008-07-21,881.8006436140803
2008-07-22,1152.9232984786884
2008-07-23,1547.0634856988227
2008-07-24,1647.0245208537658
2008-07-25,1391.9528484559962
2008-07-26,673.0289528738898
2008-07-27,759.0097947763223
2008-07-28,1876.486372652304
2008-07-29,1792.7076271210383
2008-07-30,1570.5455636122538
2008-07-31,1494.1308295188428
2008-08-01,1135.4900498923012
2008-08-02,236.67693564025626
2008-08-03,221.16868056411292
2008-08-04,1188.4635880837498
2008-08-05,1406.8286090364704
2008-08-06,1322.287143873822
2008-08-07,1389.324517733924
2008-08-08,1243.791314244391
2008-08-09,555.3072947533663
2008-08-10,902.0222925477281
2008-08-11,1679.3775207815286
2008-08-12,1510.886663789433
2008-08-13,1341.4443001509858
2008-08-14,1475.6889837428275
2008-08-15,1002.9279793519867
2008-08-16,63.43403325944383
2008-08-17,54.109839005834225
2008-08-18,1343.4592196224967
2008-08-19,1489.078682592931
2008-08-20,1222.3068203975201
2008-08-21,1105.8241413567978
2008-08-22,1143.4121212683078
2008-08-23,299.82255415062593
2008-08-24,200.4438885834979
2008-08-25,808.3156302425416
2008-08-26,694.9006448862978
2008-08-27,740.9315767821113
2008-08-28,848.3860574944734
2008-08-29,538.1295742968024
2008-08-30,-269.9343196842521
2008-08-31,-288.2143131777897
2008-09-01,195.0249816770647
2008-09-02,498.32806787294413
2008-09-03,720.8566897069365
2008-09-04,759.056315622916
2008-09-05,910.9778265347483
2008-09-06,596.6806507895942
2008-09-07,-365.7822732874173
2008-09-08,479.48279141025955
2008-09-09,628.8383203174461
2008-09-10,664.5138489055331
2008-09-11,571.5147172872903
2008-09-12,147.68714650147763
2008-09-13,-795.7830060752736
2008-09-14,-1149.9050955521473
2008-09-15,-188.86369677684328
2008-09-16,30.408060413270622
2008-09-17,326.52887713592656
2008-09-18,151.28387830782296
2008-09-19,-79.75137104725192
2008-09-20,-682.4333659516678
2008-09-21,-1134.9911072176533
2008-09-22,-117.54672372261129
2008-09-23,53.82786890532815
2008-09-24,-37.94736737876119
2008-09-25,-62.848695673714886
2008-09-26,-126.57650583993693
2008-09-27,-866.8909306810258
2008-09-28,-1137.7566607026838
2008-09-29,-333.99420305606935
2008-09-30,-136.94884692756506
2008-10-01,-180.0117218802448
2008-10-02,76.50436027579947
2008-10-03,371.68431184977584
2008-10-04,-951.8750626791357
2008-10-05,-1428.2394749943676
2008-10-06,-1336.3096451576757
2008-10-07,-381.00816527685646
2008-10-08,-326.54034024432565
2008-10-09,-298.56504260453164
2008-10-10,-374.15823278634105
2008-10-11,-1081.3981541437247
2008-10-12,-1365.6116197882664
2008-10-13,-184.39878277905285
2008-10-14,-180.05210242607396
2008-10-15,-305.1361443129336
2008-10-16,-297.2761415690359
2008-10-17,-308.9579438816329
2008-10-18,-1014.4517601082064
2008-10-19,-1106.9636378603573
2008-10-20,-304.4477419411032
2008-10-21,-387.5238445338051
2008-10-22,-51.30046929243083
2008-10-23,197.6886396753276
2008-10-24,-273.68795407017575
2008-10-25,-1055.7047988273105
2008-10-26,-1237.0429283337398
2008-10-27,185.64659691150325
2008-10-28,-120.09605824570949
2008-10-29,-209.97575336249773
2008-10-30,-32.35071140851186
2008-10-31,368.34667484352144
2008-11-01,-942.9674277196095
2008-11-02,-1192.502489560388
2008-11-03,-112.68798705818904
2008-11-04,-449.3846439381401
2008-11-05,-379.42382515910276
2008-11-06,31.712672513316434
2008-11-07,-213.0331751653937
2008-11-08,-963.1287329709185
2008-11-09,-1254.8409494563102
2008-11-10,-159.78449135348697
2008-11-11,-75.24319190481907
2008-11-12,88.64785174488307
2008-11-13,322.9197731599361
2008-11-14,633.8126591888736
2008-11-15,-735.3552739990372
2008-11-16,-1178.8072985718634
2008-11-17,-339.88316467169903
2008-11-18,-224.32637478679462
2008-11-19,-222.1208642471233
2008-11-20,-41.64246271709533
2008-11-21,-96.7853265538759
2008-11-22,-1062.1669206230613
2008-11-23,-1188.2384555878311
2008-11-24,-449.42368396696054
2008-11-25,-349.5778638455026
2008-11-26,-309.2819427696751
2008-11-27,-22.54714423821208
2008-11-28,-168.19033194807395
2008-11-29,-1057.7415015948816
2008-11-30,-1431.9267108446536
2008-12-01,-135.23683653845896
2008-12-02,26.143473857604924
2008-12-03,237.53099601119345
2008-12-04,-207.65544578657085
2008-12-05,-54.32955025422923
2008-12-06,-189.43295550775295
2008-12-07,-192.52509813439613
2008-12-08,82.56287457211363
2008-12-09,165.17876171544435
2008-12-10,137.62812713359907
2008-12-11,-86.22212243673773
2008-12-12,-330.27664773976403
2008-12-13,-461.2254003394332
2008-12-14,-607.6766489492634
2008-12-15,-354.1082473432131
2008-12-16,230.97538236232924
2008-12-17,549.5193168882984
2008-12-18,87.40211929011863
2008-12-19,-307.50067600624743
2008-12-20,-654.274332758287
2008-12-21,-708.6738269554697
2008-12-22,-423.2399786372381
2008-12-23,-271.7707687161506
2008-12-24,-902.8485163068443
2008-12-25,-1846.0150044169518
2008-12-26,-1456.9314082804453
2008-12-27,-1176.6013404900605
2008-12-28,-1022.9644913025768
2008-12-29,-897.2577330481994
2008-12-30,-709.0256672481621
2008-12-31,-870.4505415595335
2009-01-01,-762.7567928281543
2009-01-02,-779.0460580373544
2009-01-03,-1124.5611432029543
2009-01-04,-897.4606273459283
2009-01-05,-13.235193852425853
2009-01-06,445.9820385583171
2009-01-07,271.723849435397
2009-01-08,58.57971595433825
2009-01-09,124.31877293958345
2009-01-10,-113.83151475518852
2009-01-11,-201.9465906086009
2009-01-12,606.4513253599301
2009-01-13,466.81158474713294
2009-01-14,509.42621277597755
2009-01-15,712.7774386203541
2009-01-16,-63.21573142731766
2009-01-17,-768.9710740217964
2009-01-18,-848.2757549780802
2009-01-19,-358.28868450295886
2009-01-20,316.1368076249455
2009-01-21,735.8621349876541
2009-01-22,972.1122682263033
2009-01-23,790.2210491540561
2009-01-24,9.522764627413396
2009-01-25,-419.2291752159315
2009-01-26,-312.2068920573824
2009-01-27,268.55776419647214
2009-01-28,938.7342197911508
2009-01-29,1085.0760743456913
2009-01-30,671.621758886687
2009-01-31,112.76904922605175
2009-02-01,118.81531711349409
2009-02-02,278.74305664287965
2009-02-03,614.9716858123662
2009-02-04,722.4489512817811
2009-02-05,969.7049678202438
2009-02-06,478.9748454098437
2009-02-07,81.8538232613393
2009-02-08,145.1880946245106
2009-02-09,-1.1860442652968413
2009-02-10,272.54463453140045
2009-02-11,321.8292807820632
2009-02-12,261.2640763271738
2009-02-13,-278.6159816447964
2009-02-14,-562.4290693491438
2009-02-15,-493.3535429642244
2009-02-16,-486.0873578047412
2009-02-17,-78.69166880567158
2009-02-18,-1.6800162364270117
2009-02-19,163.84132575664447
2009-02-20,57.647812591945474
