date,smoothed_season
2007-12-06,0.7356874959251298
2007-12-07,0.6427961069660321
2007-12-08,-0.8778713499595378
2007-12-09,-0.9199771307482012
2007-12-10,-0.14530531786874976
2007-12-11,-0.10346853252539567
2007-12-12,-0.20894047991302714
2007-12-13,-0.20044421921102615
2007-12-14,-0.2962186761302391
2007-12-15,-0.9939909282268272
2007-12-16,-1.3047349486161173
2007-12-17,-0.8243184422611907
2007-12-18,-0.7206857834604681
2007-12-19,-0.21192077403336404
2007-12-20,-0.014058794189789885
2007-12-21,0.1413250597501118
2007-12-22,-1.166431296619519
2007-12-23,-1.9242611278647015
2007-12-24,-1.9107766457198325
2007-12-25,-2.805341790227702
2007-12-26,-2.9162279162576596
2007-12-27,-1.9239985978403682
2007-12-28,-1.354429876695702
2007-12-29,-1.2674901303753507
2007-12-30,-1.4061088851019945
2007-12-31,-1.0889719527494188
2008-01-01,-1.4180237333954921
2008-01-02,-0.7400094914901395
2008-01-03,-0.6987199936221552
2008-01-04,-0.7803499597529917
2008-01-05,-1.235000890804824
2008-01-06,-0.5911576543259418
2008-01-07,0.33876664921900257
2008-01-08,0.5887755120317903
2008-01-09,0.3759239097456033
2008-01-10,0.36820052447157936
2008-01-11,0.2048461150420922
2008-01-12,-0.5573778309376062
2008-01-13,-0.5893961340239693
2008-01-14,-0.18168548603892326
2008-01-15,0.602990406954085
2008-01-16,1.1670589401369917
2008-01-17,0.5285659548425232
2008-01-18,-0.24789857698291567
2008-01-19,-1.217939754729236
2008-01-20,-1.0081931326667966
2008-01-21,-0.1717032907591594
2008-01-22,-0.003443293501372152
2008-01-23,-0.08751893586839513
2008-01-24,0.3689823809037412
2008-01-25,0.4741437145425055
2008-01-26,-0.8786948358743296
2008-01-27,-1.1570216495800407
2008-01-28,-0.6714397208969193
2008-01-29,0.9654287930369223
2008-01-30,1.7897882942641714
2008-01-31,2.0414184167619656
2008-02-01,0.9887610154308286
2008-02-02,-0.2023770483860758
2008-02-03,-0.340101191423487
2008-02-04,0.30393043859173896
2008-02-05,0.584135374732497
2008-02-06,0.8884920215598601
2008-02-07,1.0419234512365976
2008-02-08,0.5961242733201222
2008-02-09,-0.5413178856772293
2008-02-10,-1.332703070834651
2008-02-11,-0.8534944292656474
2008-02-12,-0.5887733339818041
2008-02-13,-0.7344958526112236
2008-02-14,-0.47081236676431426
2008-02-15,-0.5880168604793508
2008-02-16,-1.6029069849716784
2008-02-17,-1.6574029373597126
2008-02-18,-0.6894282086308432
2008-02-19,-0.15975916760653328
2008-02-20,0.24210409011253903
2008-02-21,0.4955602748114418
2008-02-22,0.2772277737588756
2008-02-23,-1.2015513184036717
2008-02-24,-1.3943142863582079
2008-02-25,-0.4124603415833451
2008-02-26,0.14424089244179322
2008-02-27,0.024725551260771413
2008-02-28,-0.08365611814710242
2008-02-29,-0.5239006895958909
2008-03-01,-1.3703673854046556
2008-03-02,-1.4509816737377628
2008-03-03,-0.525250054130853
2008-03-04,-0.12492422340710654
2008-03-05,-0.19610893840744886
2008-03-06,0.10812455201665894
2008-03-07,-0.12097983882276825
2008-03-08,-1.2997936188365122
2008-03-09,-1.3864427079581834
2008-03-10,-0.28926892550670874
2008-03-11,0.2659757791893673
2008-03-12,0.45257061527572606
2008-03-13,0.7325440918221439
2008-03-14,0.5335344208164401
2008-03-15,-0.4341628281923051
2008-03-16,-0.8658046565689264
2008-03-17,-0.08684865626093202
2008-03-18,0.2991852546523474
2008-03-19,0.31403821096993007
2008-03-20,0.5303242814452658
2008-03-21,-1.1686222064402063
2008-03-22,-1.840755274717884
2008-03-23,-1.9426042706054503
2008-03-24,-1.4639531885234343
2008-03-25,-0.4942274485744147
2008-03-26,-0.2526012696380328
2008-03-27,-0.3807924268749447
2008-03-28,-0.726815636568829
2008-03-29,-1.631854199063639
2008-03-30,-1.7726977370749233
2008-03-31,-0.8648748443993552
2008-04-01,-0.42046806925301483
2008-04-02,-0.0625616031508733
2008-04-03,-0.02430441837632183
2008-04-04,-0.35259568908242506
2008-04-05,-1.1842449761262508
2008-04-06,-1.4951943893172928
2008-04-07,-0.7098948529066343
2008-04-08,-0.448131622130646
2008-04-09,-0.39353120780176787
2008-04-10,-0.5480591902999836
2008-04-11,-0.5716262108763316
2008-04-12,-1.460509412671181
2008-04-13,-1.8778009370554587
2008-04-14,-0.9208933270444113
2008-04-15,-0.46629829728728056
2008-04-16,-0.40233237898412144
2008-04-17,-0.21332692708664144
2008-04-18,-0.35106320078557396
2008-04-19,-1.2114105064399268
2008-04-20,-1.4159240529318444
2008-04-21,-0.6511819563690069
2008-04-22,-0.2681097121098033
2008-04-23,-0.1573525078098708
2008-04-24,-0.027120556392973692
2008-04-25,-1.0219527965668251
2008-04-26,-1.3881917981879988
2008-04-27,-1.4479007196392442
2008-04-28,-0.3308987547745319
2008-04-29,0.4055523259309425
2008-04-30,0.5844753890899792
2008-05-01,0.6630506048645894
2008-05-02,0.2301876297372746
2008-05-03,-0.6347967950790626
2008-05-04,-0.7742606666838513
2008-05-05,-0.01890098516580979
2008-05-06,0.28865586887944
2008-05-07,0.20012030698268335
2008-05-08,0.38082184282927134
2008-05-09,0.19569130067072787
2008-05-10,-0.6645079505604311
2008-05-11,-0.8886940113499622
2008-05-12,-0.19117615436302693
2008-05-13,0.15787827431378987
2008-05-14,0.2831150070968468
2008-05-15,0.3709561793897197
2008-05-16,0.0924139822234366
2008-05-17,-0.601839116114447
2008-05-18,-0.4923841337366533
2008-05-19,0.19096565199012516
2008-05-20,0.4858484993692098
2008-05-21,0.6113696066293319
