date,resid
2007-12-06,-133.8248686338884
2007-12-07,5.126924496338688
2007-12-08,483.915087381798
2007-12-09,142.25601415735218
2007-12-10,-18.670822809026504
2007-12-11,60.284751298258925
2007-12-12,54.79126706680836
2007-12-13,-2.933785984860151
2007-12-14,145.12880817840778
2007-12-15,395.98124984969036
2007-12-16,55.4514130391326
2007-12-17,206.51079386928905
2007-12-18,316.5043718737761
2007-12-19,-46.62674407067061
2007-12-20,35.40620687696901
2007-12-21,343.3056834222716
2007-12-22,410.56548233389003
2007-12-23,46.20275101023071
2007-12-24,81.4800001524709
2007-12-25,49.01193174851687
2007-12-26,68.01640792243779
2007-12-27,-73.38401886113388
2007-12-28,-36.06761930473658
2007-12-29,-23.761113556956843
2007-12-30,20.163243922714173
2007-12-31,51.500273314815786
2008-01-01,-2.241137317625544
2008-01-02,167.53843532492283
2008-01-03,254.70126194685145
2008-01-04,234.0845585496172
2008-01-05,194.8329939368232
2008-01-06,-216.02107912107385
2008-01-07,-212.14429579276293
2008-01-08,-348.1674152390242
2008-01-09,152.01408611656916
2008-01-10,390.7112399161033
2008-01-11,565.130422007318
2008-01-12,517.4518412587258
2008-01-13,246.5101046599957
2008-01-14,-26.78586204936437
2008-01-15,-418.30080378008824
2008-01-16,-322.3602936721272
2008-01-17,-188.78042403084874
2008-01-18,187.06072040635263
2008-01-19,225.9436345796912
2008-01-20,-258.49976550828615
2008-01-21,-397.2075240073318
2008-01-22,-333.9127554192546
2008-01-23,-153.14624336478118
2008-01-24,-479.4695162869357
2008-01-25,-464.5486297869993
2008-01-26,260.56940926442985
2008-01-27,162.29799891944276
2008-01-28,-160.35250767653088
2008-01-29,-122.15355291200103
2008-01-30,-163.37949818074594
2008-01-31,-340.27958489830235
2008-02-01,-289.52895114783314
2008-02-02,-44.72460810269877
2008-02-03,-572.0765767433368
2008-02-04,-318.53617594327625
2008-02-05,-313.24709616076325
2008-02-06,-499.71771401513615
2008-02-07,-821.5412074008
2008-02-08,-660.7271193722372
2008-02-09,-372.8923613486313
2008-02-10,-222.95267808619428
2008-02-11,148.12854352981958
2008-02-12,313.76714443506535
2008-02-13,321.2613871601461
2008-02-14,81.54272074767323
2008-02-15,226.0857424682672
2008-02-16,377.0743520689848
2008-02-17,-73.6796194194394
2008-02-18,63.65545454475432
2008-02-19,11.843241898226552
2008-02-20,-72.9166582924554
2008-02-21,-124.06860883158151
2008-02-22,296.17779796042487
2008-02-23,476.5791352936649
2008-02-24,-204.5882825774952
2008-02-25,-204.1688787832718
2008-02-26,-47.22786513106621
2008-02-27,17.71739496306327
2008-02-28,-37.73069825539096
2008-02-29,45.10939552632226
2008-03-01,59.409201186561404
2008-03-02,-337.3864926025308
2008-03-03,-207.97305123854312
2008-03-04,-25.788316605323416
2008-03-05,112.81596227189584
2008-03-06,123.3928929038193
2008-03-07,199.9189050568075
2008-03-08,320.2593403213468
2008-03-09,-108.85844364121658
2008-03-10,-0.8518639145513589
2008-03-11,22.711834444848137
2008-03-12,-28.121057465674312
2008-03-13,-70.47911707748244
2008-03-14,138.181251722277
2008-03-15,251.74104748937134
2008-03-16,-35.50555660141799
2008-03-17,117.25694864696561
2008-03-18,136.0557780973104
2008-03-19,52.43547994582332
2008-03-20,-50.34064253633187
2008-03-21,-61.58358011086057
2008-03-22,158.2904908152923
2008-03-23,-236.1102030154252
2008-03-24,-293.93230449649855
2008-03-25,-86.51721951605396
2008-03-26,-44.804294046307405
2008-03-27,-31.57290280052075
2008-03-28,216.28429579218573
2008-03-29,300.573190420866
2008-03-30,-137.5348394041066
2008-03-31,-56.34614040508313
2008-04-01,-70.61695600175881
2008-04-02,-267.15156607850986
2008-04-03,-287.0577714739502
2008-04-04,10.060093380316175
2008-04-05,13.49517412421119
2008-04-06,-157.79068718670896
2008-04-07,-16.215008045946888
2008-04-08,38.89402270949904
2008-04-09,47.71355006684098
2008-04-10,275.96802781470797
2008-04-11,175.98889648520526
2008-04-12,288.826904039026
2008-04-13,192.44752038370825
2008-04-14,60.84280782288988
2008-04-15,80.10679203545078
2008-04-16,64.12613355615395
2008-04-17,5.456547087618674
2008-04-18,153.1129015155566
2008-04-19,279.8011654574984
2008-04-20,-26.36953919687039
2008-04-21,47.976248348963054
2008-04-22,92.65101796396993
2008-04-23,50.80901741458365
2008-04-24,-77.5420662648321
2008-04-25,-27.144717910747204
2008-04-26,-10.327363546093693
2008-04-27,-199.62755122363706
2008-04-28,-33.0879380598908
2008-04-29,-14.011725845026376
2008-04-30,-19.71147604662292
2008-05-01,-109.07775709983252
2008-05-02,30.167401590124427
2008-05-03,179.67850062177422
2008-05-04,-125.89792628783471
2008-05-05,-43.6851283503529
2008-05-06,17.385088214175994
2008-05-07,-29.173443112413224
2008-05-08,-97.64931068479927
2008-05-09,27.858960060919344
2008-05-10,138.5788494494427
2008-05-11,-222.50602626273576
2008-05-12,-124.52080576370645
2008-05-13,-27.95759854154494
2008-05-14,-37.252445647131026
2008-05-15,-95.9565510741777
2008-05-16,92.21006677159858
2008-05-17,200.42528035961004
2008-05-18,-66.10042758942836
2008-05-19,18.87707812014378
2008-05-20,50.24740778808882
2008-05-21,26.85033780519916
2008-05-22,-20.557818677239993
2008-05-23,220.10677048808066
2008-05-24,344.43083532261335
2008-05-25,22.099148345951107
2008-05-26,80.98199485730947
2008-05-27,25.256995142695814
2008-05-28,4.765056249305417
2008-05-29,-102.98692336629574
2008-05-30,-28.802995423544417
2008-05-31,111.34695623909101
2008-06-01,-187.6618130332572
2008-06-02,-67.4276876255517
