date,season,season_norm
2007-12-06,511.3477662580731,0.6419403463612564
2007-12-07,419.38408718831454,0.6202334749246913
2007-12-08,-1058.5073013902818,0.2713957740672923
2007-12-09,-648.5484224300727,0.3681614186117802
2007-12-10,130.89229375239185,0.5521386103655269
2007-12-11,-57.76928716443862,0.5076074136647692
2007-12-12,-174.61357006547018,0.48002778817907704
2007-12-13,-134.87658335464894,0.48940720481979233
2007-12-14,-232.21795953891453,0.4664309955199514
2007-12-15,-894.576147087661,0.31008966416487616
2007-12-16,-994.9756828439382,0.2863916147066853
2007-12-17,-427.06493233674,0.42043981475044323
2007-12-18,-467.1528273472881,0.4109775706127722
2007-12-19,5.751823649922527,0.5226007740859985
2007-12-20,50.53256217036876,0.533170704994922
2007-12-21,145.5988141768635,0.5556098998067754
2007-12-22,-1195.2465377681112,0.23912019468191198
2007-12-23,-1557.0991702800204,0.15370942542636146
2007-12-24,-1318.6709515440375,0.2099874119456408
2007-12-25,-2208.3069830325944,0.0
2007-12-26,-2052.396358681575,0.036800744735484225
2007-12-27,-1037.142862188896,0.27643858161642276
2007-12-28,-767.958411628347,0.3399761903783337
2007-12-29,-851.0510608107589,0.32036321413193924
2007-12-30,-1014.1068673947608,0.2818759388695007
2007-12-31,-658.9668846738089,0.36570227144869266
2008-01-01,-1078.9233145454436,0.2665768305747189
2008-01-02,-309.95076872031194,0.44808314218946727
2008-01-03,-470.4464969075038,0.41020014127956883
2008-01-04,-563.5243628311518,0.388230280029652
2008-01-05,-989.390260122418,0.2877099835905893
2008-01-06,-216.94401652088615,0.4700362179379265
2008-01-07,512.4691523249053,0.6422050354584055
2008-01-08,483.790032886016,0.6354356895071452
2008-01-09,198.8105833798808,0.5681698696197046
2008-01-10,254.38208538680848,0.5812868247241887
2008-01-11,94.95297821173352,0.5436555863080895
2008-01-12,-611.141712989642,0.3769908025696844
2008-01-13,-416.4567722490197,0.42294373770711374
2008-01-14,-3.308385735641705,0.520462225451253
2008-01-15,652.4392710080933,0.6752432240340499
2008-01-16,977.822638600924,0.7520458813372287
2008-01-17,178.17575972483547,0.5632992786567604
2008-01-18,-400.8992914745465,0.426615885651436
2008-01-19,-1130.639645345321,0.25436984021505454
2008-01-20,-634.8817691873088,0.3713872604648857
2008-01-21,130.95845402688786,0.5521542266673889
2008-01-22,49.09729652878213,0.5328319285662887
2008-01-23,-84.11255260052062,0.5013894167139668
2008-01-24,392.80046059308313,0.6139587437410615
2008-01-25,361.3288777841468,0.6065302718829424
2008-01-26,-1009.23214677951,0.28302655544720584
2008-01-27,-882.9809899780671,0.31282655537247783
2008-01-28,-319.584440851481,0.4458092348759649
2008-01-29,1156.716883049939,0.7942716209365612
2008-01-30,1486.6871606396537,0.872156960735706
2008-01-31,1490.9662660705726,0.8731669898297139
2008-02-01,374.0866700403424,0.6095415885149095
2008-02-02,-492.5121105651498,0.40499183030636265
2008-02-03,-275.088160676398,0.4563120229650892
2008-02-04,403.4161065854586,0.6164644336515074
2008-02-05,489.54272683101794,0.6367935406625274
2008-02-06,707.6377964848563,0.6882721427129468
2008-02-07,769.14179297529,0.7027893886317415
2008-02-08,282.2250974483166,0.5878588180300179
2008-02-09,-711.453293482489,0.35331351384676163
2008-02-10,-1157.1101401625751,0.24812181236674996
2008-02-11,-447.6428965815884,0.4155826447371565
2008-02-12,-327.8924110079,0.44384824286359215
2008-02-13,-550.7827878596562,0.39123776877524485
2008-02-14,-246.45256450805957,0.4630710957949617
2008-02-15,-440.8015530242995,0.41719745796074226
2008-02-16,-1410.7457402717282,0.18825431446979052
2008-02-17,-1163.2711261923523,0.24666758899265678
2008-02-18,-188.77808870400617,0.476684431452186
2008-02-19,48.10886883194088,0.5325986226224997
2008-02-20,288.644937918592,0.5893741407437365
2008-02-21,420.2148957586617,0.6204295768532717
2008-02-22,128.78541742903252,0.5516413086704826
2008-02-23,-1270.379449044712,0.22138601459871943
2008-02-24,-1022.0141453170952,0.28000952522653294
2008-02-25,7.285337213025775,0.5229627407025718
2008-02-26,266.81233506043696,0.5842208290432762
2008-02-27,-16.851832981819577,0.5172654648262492
2008-02-28,-88.65456941546269,0.5003173306897671
2008-02-29,-492.3126240785186,0.405038916586103
2008-03-01,-1199.5712747296434,0.23809939483820708
2008-03-02,-1027.9765649843232,0.2786021709484468
2008-03-03,-87.54750572099151,0.5005786391708007
2008-03-04,33.83436481924351,0.5292293052293872
2008-03-05,-155.53775404005572,0.484530394971234
2008-03-06,166.7994819152443,0.5606140511589336
2008-03-07,-150.37536416541158,0.48574891226466815
2008-03-08,-1249.3713904962856,0.22634470297064302
2008-03-09,-985.0428354393982,0.28873613858600744
2008-03-10,126.90854646644806,0.5511982968521217
2008-03-11,350.7431211983642,0.60403163699153
2008-03-12,370.56459113434494,0.6087102460243168
2008-03-13,592.3225698814784,0.661053431762299
2008-03-14,312.14720495982374,0.5949215557046458
2008-03-15,-586.7789681266028,0.38274132251335347
2008-03-16,-726.7001271295749,0.34971469025532026
2008-03-17,172.67571094673025,0.5620010612199547
2008-03-18,323.5013252876415,0.5976015532071846
2008-03-19,223.5523719563203,0.5740098580713634
2008-03-20,433.2669993113119,0.623510361970396
2008-03-21,-1312.9498483208529,0.21133780650789818
2008-03-22,-1473.7765845779747,0.17337667530035272
2008-03-23,-1374.9822758004657,0.19669583109087946
2008-03-24,-870.861952752898,0.31568710190174565
2008-03-25,-52.982133794501685,0.5087373610940095
2008-03-26,-101.78140029858277,0.4972189071248152
2008-03-27,-300.45622218341657,0.45032421065377415
