date,season_norm
2007-12-06,0.7356874959251298
2007-12-07,0.6029855116978473
2007-12-08,-1.5295859743562106
2007-12-09,-0.9380224653719142
2007-12-10,0.18669688765101522
2007-12-11,-0.08553848166395824
2007-12-12,-0.2541427430791549
2007-12-13,-0.19680296462445437
2007-12-14,-0.33726487195275906
2007-12-15,-1.293036179125365
2007-12-16,-1.4379109573543845
2007-12-17,-0.6184256538233649
2007-12-18,-0.676271786831587
2007-12-19,0.006121372863966394
2007-12-20,0.07073919717174197
2007-12-21,0.20791814001006972
2007-12-22,-1.7268983064922179
2007-12-23,-2.2490453412554943
2007-12-24,-1.90499758194346
2007-12-25,-3.188726852159646
2007-12-26,-2.96375054169907
2007-12-27,-1.4987574613758146
2007-12-28,-1.1103289962051306
2007-12-29,-1.2302302390952002
2007-12-30,-1.4655169228419844
2007-12-31,-0.9530561245983148
2008-01-01,-1.5590459251009519
2008-01-02,-0.4494319592449883
2008-01-03,-0.6810244945358762
2008-01-04,-0.8153342309519215
2008-01-05,-1.4298512898270375
2008-01-06,-0.31522483869213525
2008-01-07,0.7373056364525502
2008-01-08,0.6959221675229852
2008-01-09,0.2847017944800946
2008-01-10,0.3648905022112834
2008-01-11,0.13483708242945483
2008-01-12,-0.8840452363574769
2008-01-13,-0.603118263918125
2008-01-14,-0.00695235118818921
2008-01-15,0.9392800753796601
2008-01-16,1.4088025972153804
2008-01-17,0.2549261040020367
2008-01-18,-0.5806690906223896
2008-01-19,-1.6336716880490878
2008-01-20,-0.9183017232114652
2008-01-21,0.1867923557726851
2008-01-22,0.06866813389482244
2008-01-23,-0.12355135402569077
2008-01-24,0.5646258023775139
2008-01-25,0.5192128575305474
2008-01-26,-1.4584827860529732
2008-01-27,-1.2763045697396311
2008-01-28,-0.4633331800327243
2008-01-29,1.6669438704371404
2008-01-30,2.143085223361564
2008-01-31,2.1492598978324486
2008-02-01,0.5376221291460556
2008-02-02,-0.7128647900218921
2008-02-03,-0.3991258241538061
2008-02-04,0.5799439943125501
2008-02-05,0.7042232045071076
2008-02-06,1.018930584485873
2008-02-07,1.1076797782409136
2008-02-08,0.40506748278448984
2008-02-09,-1.0287930966760943
2008-02-10,-1.6718681501878316
2008-02-11,-0.648119297164646
2008-02-12,-0.4753214360030141
2008-02-13,-0.7969483605952605
2008-02-14,-0.35780515854421024
2008-02-15,-0.6382473577857949
2008-02-16,-2.0378598954683906
2008-02-17,-1.6807583455260133
2008-02-18,-0.27458189631847063
2008-02-19,0.06724184997531396
2008-02-20,0.4143312005635701
2008-02-21,0.6041843539681144
2008-02-22,0.1836567018792043
2008-02-23,-1.8353137864733349
2008-02-24,-1.4769269869101522
2008-02-25,0.008334206177310533
2008-02-26,0.382827135595424
2008-02-27,-0.026495309245380894
2008-02-28,-0.13010540503619128
2008-02-29,-0.7125769345025146
2008-03-01,-1.733138826465555
2008-03-02,-1.4855306544519515
2008-03-03,-0.12850793144217734
2008-03-04,0.04664398976021349
2008-03-05,-0.2266166734075956
2008-03-06,0.23851033362699098
2008-03-07,-0.2191674348968085
2008-03-08,-1.804999524556688
2008-03-09,-1.423578031867471
2008-03-10,0.18094840982963764
2008-03-11,0.5039377954876857
2008-03-12,0.5325398307413084
2008-03-13,0.8525327246277514
2008-03-14,0.4482445618139956
2008-03-15,-0.8488902206246246
2008-03-16,-1.0507940115874783
2008-03-17,0.2469896295853513
2008-03-18,0.4646283593294672
2008-03-19,0.32040376367746554
2008-03-20,0.6230183116489811
2008-03-21,-1.8967421298196947
2008-03-22,-2.1288123039797457
2008-03-23,-1.9862538402715506
2008-03-24,-1.2588170104882843
2008-03-25,-0.0786307028819776
2008-03-26,-0.14904719295101201
2008-03-27,-0.4357314942621926
2008-03-28,-0.875111297866208
2008-03-29,-2.019727868704272
2008-03-30,-1.8330592533654737
2008-03-31,-0.47580789039554033
2008-04-01,-0.23000802276172613
2008-04-02,0.09082688232147315
2008-04-03,-0.007908482044371268
2008-04-04,-0.4932919479564693
2008-04-05,-1.5406660991450332
2008-04-06,-1.628458423542025
2008-04-07,-0.3733379087306378
2008-04-08,-0.3359473803695081
2008-04-09,-0.37013103023224875
2008-04-10,-0.6142854685135046
2008-04-11,-0.5817263625519092
2008-04-12,-1.8414593562975454
2008-04-13,-2.0566401617915777
2008-04-14,-0.5107900656111051
2008-04-15,-0.2714718559627959
2008-04-16,-0.37491841399705333
2008-04-17,-0.13232459055915
2008-04-18,-0.41009303237083083
2008-04-19,-1.5801307802917925
2008-04-20,-1.5035727157140948
2008-04-21,-0.3234353435563621
2008-04-22,-0.10393589314157313
2008-04-23,-0.10988513453847128
2008-04-24,0.02869313707141081
2008-04-25,-1.4483094709270474
2008-04-26,-1.545151370311359
2008-04-27,-1.4734902574040636
2008-04-28,0.14781637302463066
2008-04-29,0.7211742176618601
2008-04-30,0.6611567018724235
2008-05-01,0.6967256973394224
2008-05-02,0.04467492611128258
2008-05-03,-1.0055044057146358
2008-05-04,-0.8340308973716178
2008-05-05,0.30482459262763667
2008-05-06,0.4204659491845471
2008-05-07,0.16217649474121626
2008-05-08,0.45826535819209485
2008-05-09,0.11634963974563786
2008-05-10,-1.0331647725166422
2008-05-11,-0.9847737516883326
2008-05-12,0.10776007005994549
2008-05-13,0.3074730294609971
2008-05-14,0.33678789257529984
2008-05-15,0.4086023960866652
2008-05-16,-0.02696124513354191
2008-05-17,-0.8993761582592543
2008-05-18,-0.44547485557474176
2008-05-19,0.48382984587303035
2008-05-20,0.6122268625316747
2008-05-21,0.6651643668836701
2008-05-22,0.8214732830103438
