date,avg_temp,avg_load
2006-01-04,19.58645833333333,8060.226215624996
2006-01-05,22.277083333333334,8081.88475645833
2006-01-06,22.55520833333333,8292.417466041667
2006-01-07,23.53333333333333,7620.753992291666
2006-01-08,24.022916666666674,7552.765243333334
2006-01-09,25.386458333333334,8844.571909583336
2006-01-10,25.36770833375,9754.662395625
2006-01-11,23.495833333333337,9746.58513854167
2006-01-12,23.60833333333333,9164.433055625002
2006-01-13,24.253125,8850.31986083333
2006-01-14,22.35,8635.826492083332
2006-01-15,22.698958333333337,7662.240694583335
2006-01-16,23.360416666875,9027.49725625
2006-01-17,20.89479166666667,9099.17975729167
2006-01-18,21.169791666666672,8585.0247225
2006-01-19,23.046875,8484.019444583331
2006-01-20,24.16875000020833,8672.169305625
2006-01-21,24.4125,8693.989652916667
2006-01-22,24.558333333333334,8707.004374791666
2006-01-23,21.555208333333336,10124.172846666668
2006-01-24,20.404166666666672,9087.451111458337
2006-01-25,22.982291666666665,8647.444027708332
2006-01-26,24.48229166666667,8193.16739625
2006-01-27,24.71770833333333,9484.763229374998
2006-01-28,24.34895833333333,8544.133229166666
2006-01-29,24.290625000208333,8231.1465625
2006-01-30,21.69270833333333,9689.812221874998
2006-01-31,25.078125000000004,9077.168646041668
2006-02-01,25.937499999791665,10228.899027916668
2006-02-02,21.8375,10500.787708125
2006-02-03,21.796875000000004,9280.078055625
2006-02-04,22.65000000020833,7981.559097083333
2006-02-05,24.74375000000001,7731.251701666665
2006-02-06,20.78854166666667,9778.0552775
2006-02-07,21.782291666666666,8578.44583416667
2006-02-08,24.70520833354168,8665.073680625002
2006-02-09,21.41875000020833,9477.29305479167
2006-02-10,22.825000000208338,8647.516666041667
2006-02-11,24.834375,7859.403402916666
2006-02-12,23.38020833354167,8216.696284791667
2006-02-13,22.23333333333333,9159.654548541668
2006-02-14,23.574999999999992,8816.203125416667
2006-02-15,23.293750000000003,8974.295416458333
2006-02-16,24.978125000416668,9054.244167083334
2006-02-17,26.35000000041667,9552.04371520833
2006-02-18,25.73854166666668,8951.747604375001
2006-02-19,23.183333333333326,8617.593298958334
2006-02-20,24.092708333541665,9115.020104374998
2006-02-21,23.21979166666667,9182.122153125
2006-02-22,24.240625000000005,9075.217708125
2006-02-23,24.363541666666663,9057.077292499996
2006-02-24,24.230208333541658,9251.589132083333
2006-02-25,24.40833333333333,8427.013264375002
2006-02-26,22.06979166645834,7924.506805416667
2006-02-27,22.68437500041667,8589.416285000001
2006-02-28,22.741666666666664,8855.437465
2006-03-01,23.43124999979166,8773.265972083336
2006-03-02,23.190625,8844.469027500001
2006-03-03,22.921875000208345,8676.284513958335
2006-03-04,22.604166666458337,7857.560520833333
2006-03-05,24.655208333333324,7583.755243750001
2006-03-06,23.62604166666667,9127.36677125
2006-03-07,22.60104166687499,9063.780207916669
2006-03-08,24.390625,8856.518541458334
2006-03-09,24.11041666666668,9345.511388333334
2006-03-10,23.77395833333334,9186.623263541667
2006-03-11,24.611458333333328,8223.191700416668
2006-03-12,25.366666667083333,8360.542048958332
2006-03-13,22.96354166666668,9551.7484025
2006-03-14,22.50208333333333,9100.911423958332
2006-03-15,24.25937499979166,8973.04166666667
2006-03-16,22.65312499979167,9085.842290625
2006-03-17,22.56562500020833,8649.852569375002
2006-03-18,23.95625000020833,7750.328160000001
2006-03-19,21.276041666666668,7922.901805208331
2006-03-20,20.491666666666667,8562.167534583334
2006-03-21,20.821874999999995,8654.462568541667
2006-03-22,20.909374999999997,8604.659826250001
2006-03-23,20.239583333541663,8743.386285
2006-03-24,20.305208333125,8618.8090625
2006-03-25,20.03020833333333,7715.406632291666
2006-03-26,21.089583333750003,7455.703020208333
2006-03-27,22.316666666874998,8667.960555
2006-03-28,21.959374999791667,8834.719270208334
2006-03-29,22.046874999791665,8771.003507291665
2006-03-30,20.920833333333334,8777.301979791666
2006-03-31,18.376041666875,8592.34239625
2006-04-01,16.637500000208338,7645.410971875003
2006-04-02,18.291666666875,7381.204444583332
2006-04-03,21.740625000208336,8427.823125833334
2006-04-04,23.401041667291675,8689.560451458334
2006-04-05,18.84374999979167,8799.137049166666
2006-04-06,18.61041666666667,8545.303958333332
2006-04-07,17.761458333333334,8512.275382083337
2006-04-08,17.49583333354167,7841.128125208332
2006-04-09,18.170833333333334,7537.21684
2006-04-10,21.592708333541665,8517.223472083335
2006-04-11,24.16250000000001,8732.770902500002
2006-04-12,20.45416666645833,8833.094097083334
2006-04-13,21.02083333354167,8682.373992916664
2006-04-14,19.104166666666668,7538.230763958334
2006-04-15,15.916666666875,7450.052568958335
2006-04-16,17.28750000020833,7257.230346249999
2006-04-17,21.088541666666668,7486.357430625
2006-04-18,23.859375000208328,8260.149687083334
2006-04-19,23.39062499979167,8594.75576333333
2006-04-20,17.896875,8591.018542083335
2006-04-21,14.519791666666668,8449.814757083333
2006-04-22,14.879166666687505,7937.824028124999
2006-04-23,16.13958333333333,7701.481979374999
2006-04-24,15.288541666666667,8293.628298333331
2006-04-25,15.723958333124996,7792.540313333332
2006-04-26,15.921874999999998,8540.706840624998
2006-04-27,17.132291666666664,8695.480833125
2006-04-28,18.36458333354167,8612.791111041668
2006-04-29,17.647916666458332,7993.311215416666
2006-04-30,17.22395833354167,7720.899409791667
2006-05-01,17.292708333333334,8678.502639166667
2006-05-02,18.344791666666666,8828.786979791668
2006-05-03,18.47916666666666,8774.782049166666
2006-05-04,17.110416666874993,8745.21388875
2006-05-05,16.81250000020833,8775.923576250001
2006-05-06,17.3625,8075.324514375
2006-05-07,13.816666666666668,7860.871944166668
