date,seasonal
9/2/2008,457.0456168
9/3/2008,655.10658
9/4/2008,697.7813235
9/5/2008,697.0283695
9/6/2008,198.4313596
9/7/2008,-316.7442423
9/8/2008,429.2551397
9/9/2008,553.6416661
9/10/2008,607.9424271
9/11/2008,594.9507797
9/12/2008,8.238757642
9/13/2008,-1022.721023
9/14/2008,-1075.310545
9/15/2008,-186.4033247
9/16/2008,-28.11623763
9/17/2008,258.717482
9/18/2008,162.5079309
9/19/2008,-240.9621166
9/20/2008,-978.916866
9/21/2008,-1038.433121
9/22/2008,-89.299704
9/23/2008,-28.77505944
9/24/2008,-77.9548693
9/25/2008,33.66628605
9/26/2008,-160.2715704
9/27/2008,-906.4122617
9/28/2008,-905.4766641
9/29/2008,-250.1740136
9/30/2008,-136.129147
10/1/2008,-145.9413254
10/2/2008,124.4171687
10/3/2008,289.1969588
10/4/2008,-894.7430042
10/5/2008,-1462.754315
10/6/2008,-1105.131308
10/7/2008,-231.8220349
10/8/2008,-177.2247172
10/9/2008,-49.22100078
10/10/2008,-284.3256872
10/11/2008,-1148.050373
10/12/2008,-1156.517488
10/13/2008,-189.3416102
10/14/2008,-209.5776952
10/15/2008,-283.3942175
10/16/2008,-174.5832899
10/17/2008,-314.9424674
10/18/2008,-1135.91408
10/19/2008,-964.0081861
10/20/2008,-196.6381436
10/21/2008,-207.4420784
10/22/2008,-5.046450902
10/23/2008,342.0399876
10/24/2008,-325.6861582
10/25/2008,-1188.799248
10/26/2008,-999.6730561
10/27/2008,214.5338698
10/28/2008,-57.70859487
10/29/2008,-111.8104065
10/30/2008,154.7347171
10/31/2008,280.3158337
11/1/2008,-960.0233886
11/2/2008,-1209.362291
11/3/2008,-129.3489409
11/4/2008,-465.8442733
11/5/2008,-395.6798631
11/6/2008,15.66229188
11/7/2008,-228.8760323
11/8/2008,-978.7624045
11/9/2008,-1270.263979
11/10/2008,-174.995621
11/11/2008,-90.2413503
11/12/2008,73.86355876
11/13/2008,308.3500724
11/14/2008,619.4581517
11/15/2008,-749.4940643
11/16/2008,-1192.72989
11/17/2008,-353.5890973
11/18/2008,-237.8152052
11/19/2008,-235.3921704
11/20/2008,-54.69585498
11/21/2008,-109.6204563
11/22/2008,-1074.783494
11/23/2008,-1200.636268
11/24/2008,-461.6025943
11/25/2008,-361.537752
11/26/2008,-321.0226639
11/27/2008,-34.06848805
11/28/2008,-179.4919998
11/29/2008,-1068.823079
11/30/2008,-1442.787643
12/1/2008,-145.8764548
12/2/2008,15.7259078
12/3/2008,227.3362343
12/4/2008,-217.6267026
12/5/2008,197.853111
12/6/2008,-214.8706261
12/7/2008,-1175.290091
12/8/2008,-216.5518753
12/9/2008,188.2311502
12/10/2008,3.057955542
12/11/2008,-209.5089864
12/12/2008,-337.8128198
12/13/2008,-764.6083163
12/14/2008,-1412.497954
12/15/2008,-477.5452442
