date,new_avg_load
2006-01-04,6071.972497291537
2006-01-05,6924.646931154562
2006-01-06,7193.738597443917
2006-01-07,6897.759382766558
2006-01-08,6978.440386288197
2006-01-09,8635.859856107993
2006-01-10,9517.43963640054
2006-01-11,8807.85153785841
2006-01-12,8321.422707238984
2006-01-13,8255.688995183591
2006-01-14,7423.489311463942
2006-01-15,6689.418548704547
2006-01-16,8111.003744810417
2006-01-17,7312.517898698462
2006-01-18,6990.122493404149
2006-01-19,7520.389832187749
2006-01-20,8061.365073351189
2006-01-21,8163.154707762622
2006-01-22,8224.21214503559
2006-01-23,8393.409804329864
2006-01-24,7131.610271283892
2006-01-25,7643.772339075677
2006-01-26,7714.9043795698635
2006-01-27,9016.985042862152
2006-01-28,8001.56707659338
2006-01-29,7689.988248901592
2006-01-30,8084.548858996265
2006-01-31,8755.321921212068
2006-02-01,10204.310328248366
2006-02-02,8819.65198369922
2006-02-03,7779.87312956543
2006-02-04,6953.165905792319
2006-02-05,7357.698434350562
2006-02-06,7818.134982895333
2006-02-07,7186.85420025077
2006-02-08,8233.55578866652
2006-02-09,7807.3757930497495
2006-02-10,7591.521842469333
2006-02-11,7507.05274555033
2006-02-12,7388.771959687193
2006-02-13,7832.6789536888355
2006-02-14,7993.922641603764
2006-02-15,8040.192071427936
2006-02-16,8698.386253450039
2006-02-17,9680.628919219984
2006-02-18,8861.728027103447
2006-02-19,7684.020691571179
2006-02-20,8446.366185733668
2006-02-21,8200.267825132587
2006-02-22,8461.113432923754
2006-02-23,8487.01846130939
2006-02-24,8621.8435417965
2006-02-25,7911.128798511018
2006-02-26,6726.623625191429
2006-02-27,7494.059232447148
2006-02-28,7745.669500636218
2006-03-01,7906.484165636532
2006-03-02,7888.798636187201
2006-03-03,7649.104195969092
2006-03-04,6831.292600180763
2006-03-05,7191.502518602511
2006-03-06,8293.982601711588
2006-03-07,7878.879774558519
2006-03-08,8308.308559625277
2006-03-09,8666.314366761357
2006-03-10,8400.092257364244
2006-03-11,7784.028457762202
2006-03-12,8156.887819694612
2006-03-13,8436.229708858678
2006-03-14,7876.517971969066
2006-03-15,8372.322410785473
2006-03-16,7916.258505304677
2006-03-17,7507.281899523261
2006-03-18,7141.107653254408
2006-03-19,6483.384189558501
2006-03-20,6748.195502416801
2006-03-21,6930.8514536289795
2006-03-22,6919.925348249851
2006-03-23,6806.249820484722
2006-03-24,6731.027446057242
2006-03-25,5943.892393122453
2006-03-26,6047.602698322124
2006-03-27,7439.999476444455
2006-03-28,7461.727441245791
2006-03-29,7437.431459538217
2006-03-30,7062.633532136851
2006-03-31,6072.816995751792
2006-04-01,4892.327886390892
2006-04-02,5192.866588475943
2006-04-03,7047.159313339468
2006-04-04,7820.952545962551
2006-04-05,6377.259183400048
2006-04-06,6116.602584919204
2006-04-07,5815.016327720472
2006-04-08,5276.42580098427
2006-04-09,5267.596576801281
2006-04-10,7073.458547857326
2006-04-11,8115.599112756015
2006-04-12,6948.983801625069
2006-04-13,7019.64371709915
2006-04-14,5538.908341786693
2006-04-15,4560.769361184831
2006-04-16,4825.360369704183
2006-04-17,6072.1677156651895
2006-04-18,7580.077266999029
2006-04-19,7732.1811163433895
2006-04-20,5913.553268090296
2006-04-21,4718.828842106755
2006-04-22,4542.623334050331
2006-04-23,4780.719622934143
2006-04-24,4876.82622334288
2006-04-25,4712.676122925005
2006-04-26,5230.156412618312
2006-04-27,5729.750531346429
2006-04-28,6083.473849735064
2006-04-29,5425.588085336157
2006-04-30,5114.786528143005
2006-05-01,5772.108265737413
2006-05-02,6229.3176082175905
2006-05-03,6236.5638442394475
2006-05-04,5755.163595286718
2006-05-05,5674.815966443517
2006-05-06,5392.608533878305
2006-05-07,4177.347975457801
2006-05-08,4888.085905450899
2006-05-09,5973.229174394422
2006-05-10,5434.602181627031
2006-05-11,5197.036195253457
2006-05-12,5396.870819788909
2006-05-13,4834.114558776814
2006-05-14,4810.025426022108
2006-05-15,5700.367844612499
2006-05-16,5757.788281833583
2006-05-17,5671.225213750471
2006-05-18,5790.21477771711
2006-05-19,5665.780911832498
2006-05-20,4905.667802283654
2006-05-21,4297.897842812398
2006-05-22,4054.9170239399255
2006-05-23,5908.550192240973
2006-05-24,5518.764581897814
2006-05-25,5226.884707853566
2006-05-26,4885.951334026109
2006-05-27,4502.883075391776
2006-05-28,4064.629227364401
2006-05-29,4391.099829193822
2006-05-30,5021.5504568031365
2006-05-31,5476.236861177886
2006-06-01,4229.758250875873
2006-06-02,5331.241351078391
2006-06-03,4541.673124616054
2006-06-04,3656.5421562499996
2006-06-05,4750.360856919627
2006-06-06,5047.79647215545
2006-06-07,5051.032153111647
2006-06-08,4938.710128781047
2006-06-09,5072.901598958333
2006-06-10,4076.6871131013872
2006-06-11,3667.5551980610035
2006-06-12,4242.938790569861
2006-06-13,4493.516553970961
2006-06-14,4267.713599459005
2006-06-15,4687.267960796268
2006-06-16,4507.146015799582
2006-06-17,4265.952303260623
2006-06-18,4316.266048462724
2006-06-19,5296.529140790248
2006-06-20,5001.559876176881
2006-06-21,5128.193810763889
2006-06-22,4973.179206710829
2006-06-23,5091.088078592414
2006-06-24,3955.966184061163
2006-06-25,3882.5536323758356
2006-06-26,4573.8164161729965
2006-06-27,4570.119236127953
2006-06-28,4804.97356455224
2006-06-29,4090.7621827498356
2006-06-30,5309.156731812062
2006-07-01,4634.000508806553
2006-07-02,4436.0153633553255
2006-07-03,5000.301603899572
2006-07-04,4956.336077204364
2006-07-05,5082.614931123132
2006-07-06,4416.096017111447
