date,seasonal,trend,residual,all_load
2009-09-07,10.071387054251854,8857.700399676925,-23.868962928270776,8843.902823802906
2009-09-08,-2.4007071135809963,8857.718618564728,-84.73515265218339,8770.582758798964
2009-09-09,-20.243234756073246,8857.73653730216,-180.16554804572115,8657.327754500366
2009-09-10,-88.14689862798163,8857.754167798807,-127.18357065138662,8642.423698519438
2009-09-11,-146.97353600292826,8857.77152442747,67.4507841597333,8778.248772584275
2009-09-12,-201.96146211248316,8857.788624322446,-311.5091039911167,8344.318058218845
2009-09-13,-266.7359253427805,8857.805487453803,-640.8074550868259,7950.262107024197
2009-09-14,-293.6946753261804,8857.822136747525,-31.039414704287992,8533.088046717057
2009-09-15,-325.99871166936543,8857.838598292079,-15.993536150126602,8515.846350472588
2009-09-16,-339.3925743648544,8857.85490131703,-188.66693035315257,8329.795396599024
2009-09-17,-323.5754270275143,8857.87107787173,-184.9461578236369,8349.34949302058
2009-09-18,-330.36709318275797,8857.887161951161,-4.098692249848682,8523.421376518554
2009-09-19,-331.4123969866501,8857.903188841006,-395.29868629735756,8131.192105556998
2009-09-20,-339.2730369800659,8857.919194693126,-786.717180331103,7731.928977381956
2009-09-21,-376.94239466017706,8857.935215911244,-5.03721517359736,8475.95560607747
2009-09-22,-400.64005338020604,8857.951288345572,36.08452724819472,8493.39576221356
2009-09-23,-423.73876061957543,8857.967446960269,-225.28469936407782,8208.943986976616
2009-09-24,-444.6462156991215,8857.983725840371,-149.4286355896911,8263.908874551558
2009-09-25,-466.8981936337422,8858.000158874227,159.5842867500669,8550.686251990552
2009-09-26,-484.0851881888972,8858.01677991346,-99.6229289246512,8274.308662799911
2009-09-27,-492.9977513814758,8858.033622666268,-242.2541549349953,8122.781716349797
2009-09-28,-482.57482802702503,8858.050720836658,335.91014113175515,8711.386033941388
2009-09-29,-472.63455308905566,8858.068108370047,159.0279748596604,8544.461530140652
2009-09-30,-451.8475267709251,8858.085819653217,-1.2446562856839591,8404.993636596608
2009-10-01,-501.76973420473706,8858.103889746442,-13.497120263582474,8342.837035278122
2009-10-02,-546.268430391153,8858.122354282486,54.60439945055441,8366.458323341887
2009-10-03,-585.9706305222809,8858.141249224436,-131.2967171337441,8140.873901568411
2009-10-04,-593.0165007294089,8858.16061119858,-20.54290255090018,8244.601207918271
2009-10-05,-602.6579998155986,8858.180477871958,-263.9874043156451,7991.535073740713
2009-10-06,-602.5913049559838,8858.200888046063,329.0350701839234,8584.644653274003
2009-10-07,-613.6439002516171,8858.221881571915,221.42110934519405,8465.999090665493
2009-10-08,-564.406614788199,8858.243499206943,207.56201562609567,8501.39890004484
2009-10-09,-513.3880769043899,8858.265782957837,449.1938312145194,8794.071537267966
2009-10-10,-473.7192401720995,8858.28877642531,99.30074525472082,8483.87028150793
2009-10-11,-465.27400858288036,8858.312524543686,-339.136474240011,8053.902041720794
2009-10-12,-471.1396194363542,8858.33707326999,236.1780942414207,8623.375548075057
2009-10-13,-484.12660693359265,8858.36246965019,-12.70170021442027,8361.534162502177
2009-10-14,-492.0792306186991,8858.388761685554,-152.54799860796265,8213.761532458891
2009-10-15,-497.32064991826,8858.415998176,-85.70304948371268,8275.392298774028
