date,all_load
2007-09-05,9534.986458
2007-09-06,9386.96414369136
2007-09-07,9287.331471925221
2007-09-08,9501.622482116687
2007-09-09,9011.400420318892
2007-09-10,9079.992291593682
2007-09-11,9049.938746761625
2007-09-12,9009.901657392418
2007-09-13,8996.025329945607
2007-09-14,9142.733321020589
2007-09-15,9076.743867029845
2007-09-16,8571.919777121426
2007-09-17,8687.385286965633
2007-09-18,8699.986623700457
2007-09-19,8734.0320340674
2007-09-20,8775.59411078779
2007-09-21,8906.516431327715
2007-09-22,9017.482423325346
2007-09-23,8532.607303231749
2007-09-24,8586.315198874066
2007-09-25,8649.17005037271
2007-09-26,8689.153793584857
2007-09-27,8636.068350180425
2007-09-28,8833.842786315952
2007-09-29,8734.017709517802
2007-09-30,8269.00204149705
2007-10-01,8122.801266417626
2007-10-02,8376.457920344552
2007-10-03,8448.774029120663
2007-10-04,8320.200520195376
2007-10-05,8702.538691721902
2007-10-06,8604.518494697317
2007-10-07,8450.923716898731
2007-10-08,8347.844902953628
2007-10-09,8430.35689951878
2007-10-10,8452.877934594535
2007-10-11,8518.825945137634
2007-10-12,8644.424158169979
2007-10-13,8593.1570463532
2007-10-14,8023.911103449469
2007-10-15,8303.740079350313
2007-10-16,8517.193572704397
2007-10-17,8482.758860118776
2007-10-18,8449.120827482342
2007-10-19,8682.31208047823
2007-10-20,8580.341475974305
2007-10-21,8238.437962566044
2007-10-22,8596.033785182173
2007-10-23,8514.177577926117
2007-10-24,8484.734901720376
2007-10-25,8560.7939680216
2007-10-26,8761.221577561379
2007-10-27,8702.51093375248
2007-10-28,8127.720887249152
2007-10-29,8552.495380868755
2007-10-30,8642.530397223325
2007-10-31,8621.414679148533
2007-11-01,8462.432517145526
2007-11-02,8883.604837556504
2007-11-03,8812.168209880892
2007-11-04,8335.41686685357
2007-11-05,8461.564018199422
2007-11-06,8459.091229191197
2007-11-07,8411.942860552945
2007-11-08,8458.280654020018
2007-11-09,8694.103272699835
2007-11-10,8663.703415856527
2007-11-11,8146.092335509029
2007-11-12,8391.945769994383
2007-11-13,8514.256983774098
2007-11-14,8477.259423393329
2007-11-15,8477.383247522
2007-11-16,8963.46623247123
2007-11-17,9095.49424254358
2007-11-18,8555.716485806373
2007-11-19,8875.378532225952
2007-11-20,9139.191246377424
2007-11-21,9172.217435485196
2007-11-22,8928.934653628678
2007-11-23,9141.249953565277
2007-11-24,8792.430730472544
2007-11-25,8413.416518430402
2007-11-26,8750.127394223213
2007-11-27,8808.215875874073
2007-11-28,8829.99104345978
2007-11-29,8882.825854888742
2007-11-30,8984.526710968308
2007-12-01,8846.171381682454
2007-12-02,8236.030744018839
2007-12-03,8524.856898218819
2007-12-04,8669.329196193354
2007-12-05,8808.400315233306
2007-12-06,8759.656291779862
2007-12-07,8995.280230202716
2007-12-08,9255.85393071657
2007-12-09,8821.641316924928
2007-12-10,8742.5861931349
2007-12-11,8849.333354788954
2007-12-12,8842.730929018184
2007-12-13,8792.092875922406
2007-12-14,8926.383669432833
2007-12-15,9033.774028907432
2007-12-16,8558.421742791474
2007-12-17,8715.232579058451
2007-12-18,8821.83715506036
2007-12-19,8550.60332339943
2007-12-20,8715.137954819245
2007-12-21,9108.079885030964
2007-12-22,8975.232570709282
2007-12-23,8378.441734377879
2007-12-24,8275.49036192186
2007-12-25,7954.540503034423
2007-12-26,7773.970062356995
2007-12-27,7675.988860188162
2007-12-28,7801.906064175173
2007-12-29,7868.503294650011
2007-12-30,7923.277757162298
2007-12-31,8034.351632872507
2008-01-01,7960.43725633339
2008-01-02,8267.90188187274
2008-01-03,8433.142603220336
2008-01-04,8456.401740398762
2008-01-05,8367.10687688987
2008-01-06,8070.736748364503
2008-01-07,8312.112807605203
2008-01-08,8360.382934641977
2008-01-09,8951.032951230954
2008-01-10,9273.249186343694
2008-01-11,9482.627941942237
2008-01-12,9321.728370747633
2008-01-13,8999.177286619313
2008-01-14,8767.254150393506
2008-01-15,8540.017800592597
2008-01-16,8832.488798977309
2008-01-17,8963.39476304927
2008-01-18,9221.312987710588
2008-01-19,9019.94082764969
2008-01-20,8442.476376325012
2008-01-21,8382.551348752344
2008-01-22,8492.531685554328
2008-01-23,8684.03637723732
2008-01-24,8461.718035290909
2008-01-25,8553.580434916219
2008-01-26,9066.171463431334
2008-01-27,8823.160757545567
2008-01-28,8497.430308503035
2008-01-29,8828.457860950011
2008-01-30,9087.521232736191
2008-01-31,9151.740908566308
2008-02-01,9172.044043598515
2008-02-02,9219.203375351603
2008-02-03,8577.253071857916
2008-02-04,8874.848685577628
2008-02-05,8932.64042746755
2008-02-06,8831.824255631858
2008-02-07,8590.85856812962
2008-02-08,8719.009173802733
2008-02-09,8782.011235078791
2008-02-10,8662.98730996177
2008-02-11,8960.825165938739
2008-02-12,9091.853397938637
2008-02-13,9027.115651598977
2008-02-14,8790.511985809266
2008-02-15,8898.716375628637
2008-02-16,8826.682194430388
2008-02-17,8247.042034330987
2008-02-18,8476.20401603776
2008-02-19,8545.268067053788
2008-02-20,8605.35380127988
2008-02-21,8696.42980187869
2008-02-22,9172.21015231589
2008-02-23,9117.243162392018
2008-02-24,8297.49163574867
2008-02-25,8392.941133839484
2008-02-26,8677.84909112342
2008-02-27,8788.47251383625
2008-02-28,8755.243807412824
2008-02-29,8775.165158060288
2008-03-01,8597.715547961338
2008-03-02,8081.8765161671345
2008-03-03,8304.178289353422
2008-03-04,8584.987182377015
2008-03-05,8764.653398679884
2008-03-06,8872.584266266724
2008-03-07,8963.595297686184
2008-03-08,8875.761277426625
