date,new_avg_load
2006-01-04,4459.927254166538
2006-01-05,5308.2699798628955
2006-01-06,5535.2551042355835
2006-01-07,5373.6085843082255
2006-01-08,5467.8873376215315
2006-01-09,6866.945474191325
2006-01-10,7566.5071572755405
2006-01-11,6858.534510150077
2006-01-12,6488.536096113983
2006-01-13,6485.625023016925
2006-01-14,5696.324013047275
2006-01-15,5156.97040978788
2006-01-16,6305.504293560417
2006-01-17,5492.6819472401285
2006-01-18,5273.117548904149
2006-01-19,5823.585943271083
2006-01-20,6326.931212226189
2006-01-21,6424.356777179289
2006-01-22,6482.811270077256
2006-01-23,6368.5752349965305
2006-01-24,5314.120048992225
2006-01-25,5914.283533534011
2006-01-26,6076.270900319863
2006-01-27,7120.032396987152
2006-01-28,6292.740430760047
2006-01-29,6043.758936401592
2006-01-30,6146.586414621266
2006-01-31,6939.888192003734
2006-02-01,8158.5305226650335
2006-02-02,6719.4944420742195
2006-02-03,5923.857518440431
2006-02-04,5356.8540863756525
2006-02-05,5811.44809401723
2006-02-06,5862.523927395334
2006-02-07,5471.1650334174365
2006-02-08,6500.541052541518
2006-02-09,5911.917182091416
2006-02-10,5862.018509261
2006-02-11,5935.172064966997
2006-02-12,5745.43270272886
2006-02-13,6000.748043980502
2006-02-14,6230.68201652043
2006-02-15,6245.33298813627
2006-02-16,6887.537420033373
2006-02-17,7770.220176178318
2006-02-18,7071.378506228447
2006-02-19,5960.502031779512
2006-02-20,6623.362164858669
2006-02-21,6363.843394507588
2006-02-22,6646.069891298755
2006-02-23,6675.603002809392
2006-02-24,6771.525715379834
2006-02-25,6225.726145636018
2006-02-26,5141.722264108096
2006-02-27,5776.175975447148
2006-02-28,5974.582007636218
2006-03-01,6151.830971219866
2006-03-02,6119.904830687202
2006-03-03,5913.847293177425
2006-03-04,5259.780496014097
2006-03-05,5674.751469852512
2006-03-06,6468.509247461589
2006-03-07,6066.123732975186
2006-03-08,6537.00485133361
2006-03-09,6797.212089094691
2006-03-10,6562.767604655911
2006-03-11,6139.390117678869
2006-03-12,6484.779409902946
2006-03-13,6525.880028358679
2006-03-14,6056.3356871774
2006-03-15,6577.7140774521395
2006-03-16,6099.090047179678
2006-03-17,5777.311385648261
2006-03-18,5591.042021254409
2006-03-19,4898.803828516835
2006-03-20,5035.761995500135
2006-03-21,5199.958939920647
2006-03-22,5198.993382999851
2006-03-23,5057.572563484722
2006-03-24,5007.265633557243
2006-03-25,4400.8110666641205
2006-03-26,4556.462094280458
2006-03-27,5706.4073654444555
2006-03-28,5694.783587204124
2006-03-29,5683.230758079884
2006-03-30,5307.173136178518
2006-03-31,4354.348516501792
2006-04-01,3363.2456920158916
2006-04-02,3716.6256995592767
2006-04-03,5361.594688172801
2006-04-04,6083.0404556708845
2006-04-05,4617.431773566715
2006-04-06,4407.541793252538
2006-04-07,4112.561251303805
2006-04-08,3708.200175942604
2006-04-09,3760.153208801282
2006-04-10,5370.01385344066
2006-04-11,6369.044932256014
2006-04-12,5182.364982208402
2006-04-13,5283.1689185158175
