date,all_load
8/6/2006,9564.82018
8/7/2006,9725.640101
8/8/2006,9701.834676
8/9/2006,9658.861513
8/10/2006,9755.600682
8/11/2006,10101.07697
8/12/2006,9882.205074
8/13/2006,9196.964936
8/14/2006,9194.935078
8/15/2006,9234.37498
8/16/2006,9089.064013
8/17/2006,9319.76255
8/18/2006,9555.822596
8/19/2006,9257.67153
8/20/2006,8776.107642
8/21/2006,9107.783715
8/22/2006,9060.114428
8/23/2006,8891.2544
8/24/2006,9002.203226
8/25/2006,9370.35642
8/26/2006,9294.66065
8/27/2006,8856.141253
8/28/2006,9061.152076
8/29/2006,9056.673515
8/30/2006,8797.145116
8/31/2006,8813.397517
9/1/2006,9079.735767
9/2/2006,8899.230814
9/3/2006,8399.54187
9/4/2006,8517.839985
9/5/2006,8522.838439
9/6/2006,8588.47594
9/7/2006,9128.487058
9/8/2006,9446.566319
9/9/2006,9443.300105
9/10/2006,9073.491418
9/11/2006,9193.332714
9/12/2006,9104.232955
9/13/2006,8785.908881
9/14/2006,8776.746323
9/15/2006,9014.581362
9/16/2006,8781.020193
9/17/2006,8253.387967
9/18/2006,8446.672095
9/19/2006,8512.372386
9/20/2006,8371.497188
9/21/2006,8485.716935
9/22/2006,8746.774069
9/23/2006,8630.913483
9/24/2006,8260.618264
9/25/2006,8451.677385
9/26/2006,8432.355116
9/27/2006,8317.06443
9/28/2006,8331.928316
9/29/2006,8576.883207
9/30/2006,8408.986513
10/1/2006,8213.354007
10/2/2006,7903.435354
10/3/2006,7933.470207
10/4/2006,7977.923334
10/5/2006,8175.065563
10/6/2006,8529.941597
10/7/2006,8574.580901
10/8/2006,8103.875944
10/9/2006,8296.273936
10/10/2006,8410.679432
10/11/2006,8303.326031
10/12/2006,8590.859657
10/13/2006,9130.793488
10/14/2006,9040.38555
10/15/2006,8297.809183
10/16/2006,8453.042041
10/17/2006,8593.404105
10/18/2006,8497.795699
10/19/2006,8558.602994
10/20/2006,8934.521443
10/21/2006,8692.479007
10/22/2006,8165.740783
10/23/2006,8363.54159
10/24/2006,8403.882711
10/25/2006,8301.480267
10/26/2006,8387.245475
10/27/2006,8804.218987
10/28/2006,8546.807703
10/29/2006,8021.899818
10/30/2006,8396.040533
10/31/2006,8474.800206
11/1/2006,8312.652654
11/2/2006,8449.456984
11/3/2006,8836.39047
11/4/2006,8678.141761
11/5/2006,8195.238048
11/6/2006,8385.508124
11/7/2006,8231.249031
11/8/2006,8188.154503
11/9/2006,8357.114428
11/10/2006,8813.548594
11/11/2006,8718.965082
11/12/2006,8281.473773
11/13/2006,8517.147879
11/14/2006,8369.183591
11/15/2006,8235.293139
11/16/2006,8380.378761
11/17/2006,8866.621639
11/18/2006,8719.385273
11/19/2006,8284.313428
11/20/2006,8750.691019
11/21/2006,9080.696905
11/22/2006,9137.45576
11/23/2006,9206.982542
11/24/2006,9274.715923
11/25/2006,9164.623882
11/26/2006,8545.849011
11/27/2006,8874.447517
11/28/2006,9142.378994
11/29/2006,8748.0343
11/30/2006,8732.135823
12/1/2006,9472.968371
12/2/2006,8909.28275
12/3/2006,8252.232811
12/4/2006,8567.164625
12/5/2006,8682.247114
12/6/2006,8512.103432
12/7/2006,8669.80014
12/8/2006,9402.674296
12/9/2006,9048.532942
12/10/2006,8594.838413
12/11/2006,9110.207005
12/12/2006,8775.272666
12/13/2006,8688.097275
12/14/2006,8952.781439
12/15/2006,8843.504018
12/16/2006,8745.665251
12/17/2006,8418.263915
12/18/2006,8764.540805
12/19/2006,8506.906444
12/20/2006,8343.383833
12/21/2006,8233.996777
12/22/2006,8565.533452
12/23/2006,8281.261783
12/24/2006,7831.099816
12/25/2006,7749.190686
12/26/2006,7460.090981
12/27/2006,7301.083937
12/28/2006,7315.071322
12/29/2006,7475.036448
12/30/2006,7715.483315
12/31/2006,7654.212873
1/1/2007,7804.575336
1/2/2007,7651.640659
1/3/2007,7838.843138
1/4/2007,8277.958179
1/5/2007,8665.940159
1/6/2007,8267.435788
1/7/2007,8122.144923
1/8/2007,8866.259115
1/9/2007,8603.342449
1/10/2007,8474.055377
1/11/2007,9164.116201
1/12/2007,9715.772836
1/13/2007,8614.972138
1/14/2007,8401.111742
1/15/2007,9396.601522
1/16/2007,8974.874972
1/17/2007,9384.940928
1/18/2007,9842.012879
1/19/2007,10075.54425
1/20/2007,9594.087341
1/21/2007,9477.803561
1/22/2007,9691.476638
1/23/2007,9149.551046
1/24/2007,9216.704965
1/25/2007,9143.02699
1/26/2007,9109.412016
1/27/2007,8365.658487
1/28/2007,8353.337963
1/29/2007,9118.164118
1/30/2007,9348.857974
1/31/2007,9200.344764
2/1/2007,8786.259656
2/2/2007,8940.332782
2/3/2007,8985.827486
2/4/2007,9067.8398
2/5/2007,9944.568205
2/6/2007,9068.786228
2/7/2007,9297.977424
2/8/2007,9326.463303
2/9/2007,9101.617678
2/10/2007,8869.143581
2/11/2007,8625.412284
2/12/2007,9047.423393
2/13/2007,8718.984819
2/14/2007,8950.065494
2/15/2007,9222.501147
2/16/2007,9470.015707
2/17/2007,8823.097953
2/18/2007,8639.64322
2/19/2007,9598.864523
2/20/2007,9489.219618
2/21/2007,9411.390894
2/22/2007,9412.686682
2/23/2007,9669.771037
2/24/2007,8907.177701
2/25/2007,8387.995853
2/26/2007,9132.772775
2/27/2007,9075.409154
2/28/2007,9053.225877
3/1/2007,9169.428487
3/2/2007,9367.730601
3/3/2007,9299.561981
3/4/2007,9278.676458
3/5/2007,9488.354485
3/6/2007,8712.810522
3/7/2007,8619.835509
3/8/2007,9014.074305
3/9/2007,8759.272662
3/10/2007,8279.007041
3/11/2007,8458.310789
3/12/2007,8912.451649
3/13/2007,8437.696399
3/14/2007,8565.654495
3/15/2007,8928.752232
3/16/2007,9257.287035
3/17/2007,8742.667612
3/18/2007,8421.181751
3/19/2007,9043.62768
3/20/2007,9195.00994
3/21/2007,9070.482112
3/22/2007,9724.08716
3/23/2007,9574.038077
3/24/2007,8907.075549
3/25/2007,8247.043031
3/26/2007,8791.505399
3/27/2007,8381.900652
3/28/2007,8412.195433
3/29/2007,8553.567149
3/30/2007,8560.262512
3/31/2007,8051.332545
4/1/2007,7991.20657
4/2/2007,8797.396627
4/3/2007,8396.789961
4/4/2007,8291.715832
4/5/2007,8261.389662
4/6/2007,7705.468869
4/7/2007,7722.248926
4/8/2007,7534.170235
4/9/2007,7776.765477
4/10/2007,8015.540855
4/11/2007,8028.836965
4/12/2007,8081.758075
4/13/2007,8289.01086
4/14/2007,8306.876845
4/15/2007,7884.340556
4/16/2007,8577.805885
4/17/2007,8576.167879
4/18/2007,8334.702893
4/19/2007,8324.247955
4/20/2007,8480.524936
4/21/2007,8082.732153
4/22/2007,7856.808104
4/23/2007,8529.726068
4/24/2007,8418.802229
4/25/2007,8107.900731
4/26/2007,8541.649577
4/27/2007,8619.708973
4/28/2007,8197.053429
4/29/2007,7983.997031
4/30/2007,8613.966069
5/1/2007,8386.638107
5/2/2007,8372.231836
5/3/2007,8608.674205
5/4/2007,8713.765403
5/5/2007,8165.047012
5/6/2007,8051.614815
5/7/2007,8782.603217
5/8/2007,8538.398505
5/9/2007,8383.0771
5/10/2007,8648.430502
5/11/2007,8678.945956
5/12/2007,8251.482297
5/13/2007,8132.428915
5/14/2007,8831.614421
5/15/2007,8571.806063
5/16/2007,8528.183797
5/17/2007,8727.363103
5/18/2007,8815.239271
5/19/2007,8281.279382
5/20/2007,8238.806718
5/21/2007,9018.95757
5/22/2007,8851.944382
5/23/2007,8715.006736
5/24/2007,9070.295608
5/25/2007,9264.955704
5/26/2007,8795.622206
5/27/2007,8527.282903
5/28/2007,9267.665411
5/29/2007,8885.466649
5/30/2007,8822.166188
5/31/2007,9318.35913
6/1/2007,9512.668166
6/2/2007,8819.443935
6/3/2007,8873.727559
6/4/2007,9709.41553
6/5/2007,9421.529468
6/6/2007,9337.05991
6/7/2007,9657.135353
6/8/2007,9884.419334
6/9/2007,9195.449328
6/10/2007,9072.04632
6/11/2007,9084.095915
6/12/2007,9878.235167
6/13/2007,9910.85844
6/14/2007,10182.55333
6/15/2007,10128.76955
6/16/2007,9697.326077
6/17/2007,9495.016984
6/18/2007,10236.43161
6/19/2007,10288.09335
6/20/2007,10273.20605
6/21/2007,10361.87916
6/22/2007,10598.98995
6/23/2007,10097.62705
6/24/2007,9971.787296
6/25/2007,10303.15884
6/26/2007,10186.36045
6/27/2007,10331.69802
6/28/2007,10378.25103
6/29/2007,10198.1165
6/30/2007,9615.998443
7/1/2007,9711.079055
7/2/2007,10117.67979
7/3/2007,9638.584811
7/4/2007,9360.507565
7/5/2007,9674.271918
7/6/2007,9966.086298
7/7/2007,9603.554103
7/8/2007,9733.56341
7/9/2007,10410.37633
7/10/2007,10075.84489
7/11/2007,10195.24232
7/12/2007,10395.67859
7/13/2007,10418.92577
7/14/2007,10009.3692
7/15/2007,10074.24446
7/16/2007,11134.34019
7/17/2007,10970.202
7/18/2007,10804.00258
7/19/2007,10758.20038
7/20/2007,10693.02834
7/21/2007,10043.83968
7/22/2007,9886.480126
7/23/2007,10493.14865
7/24/2007,9981.64274
7/25/2007,9760.212312
7/26/2007,9729.95165
7/27/2007,9904.488159
7/28/2007,9437.069893
7/29/2007,9502.204122
7/30/2007,10250.45859
7/31/2007,9919.71677
8/1/2007,9456.863715
8/2/2007,9300.618059
8/3/2007,9847.081162
8/4/2007,9458.719833
8/5/2007,9327.723871
8/6/2007,9987.400383
8/7/2007,9731.399814
8/8/2007,9437.15987
8/9/2007,9269.277949
8/10/2007,9234.916358
8/11/2007,8588.31014
8/12/2007,8493.96119
8/13/2007,9568.813636
8/14/2007,9635.795439
8/15/2007,9402.81947
8/16/2007,9703.548898
8/17/2007,9654.001228
8/18/2007,9361.669805
8/19/2007,9338.313002
8/20/2007,10011.4727
8/21/2007,9671.036807
8/22/2007,9727.813035
8/23/2007,9677.697861
8/24/2007,9531.687905
8/25/2007,8904.827909
8/26/2007,8605.694556
8/27/2007,9244.223118
8/28/2007,8782.807129
8/29/2007,8560.743145
8/30/2007,8725.488257
8/31/2007,8800.375127
9/1/2007,8456.286959
9/2/2007,8397.334826
9/3/2007,9181.31934
9/4/2007,9184.789033
9/5/2007,9225.86544
9/6/2007,9235.926626
9/7/2007,8839.65634
9/8/2007,8855.648978
9/9/2007,8566.974519
9/10/2007,9038.750119
9/11/2007,8686.001832
9/12/2007,8587.970641
9/13/2007,8835.871351
9/14/2007,8908.617009
9/15/2007,8477.547005
9/16/2007,8285.812966
9/17/2007,9023.355081
9/18/2007,8676.402604
9/19/2007,8597.155816
9/20/2007,8844.826767
9/21/2007,8907.964685
9/22/2007,8623.499713
9/23/2007,8363.311175
9/24/2007,8877.583411
9/25/2007,8615.039552
9/26/2007,8513.581573
9/27/2007,8534.352688
9/28/2007,8603.061858
9/29/2007,8085.219155
9/30/2007,7971.299883
10/1/2007,8154.041034
10/2/2007,8737.097602
10/3/2007,8597.568986
10/4/2007,8309.287917
10/5/2007,8532.020231
10/6/2007,8307.656034
10/7/2007,8164.600948
10/8/2007,8664.749211
10/9/2007,8457.045175
10/10/2007,8378.583618
10/11/2007,8753.643256
10/12/2007,8654.008257
10/13/2007,8021.002195
10/14/2007,7726.423452
10/15/2007,8920.306947
10/16/2007,8848.497569
10/17/2007,8484.434227
10/18/2007,8464.089873
10/19/2007,8704.367083
10/20/2007,8162.181399
10/21/2007,8229.659846
10/22/2007,9135.085144
10/23/2007,8665.652261
10/24/2007,8435.038924
10/25/2007,8648.635451
10/26/2007,8804.526425
10/27/2007,8237.021452
10/28/2007,8109.976817
10/29/2007,9171.252986
10/30/2007,8771.932592
10/31/2007,8552.870676
11/1/2007,8563.831628
11/2/2007,8785.700044
11/3/2007,8197.674647
11/4/2007,7994.714997
11/5/2007,8771.518935
11/6/2007,8445.77337
11/7/2007,8473.875786
11/8/2007,8578.650248
11/9/2007,8727.859931
11/10/2007,8226.352797
11/11/2007,8014.882429
11/12/2007,8844.718039
11/13/2007,8621.752654
11/14/2007,8724.689409
11/15/2007,8828.530374
11/16/2007,9150.873964
11/17/2007,8710.033015
11/18/2007,8788.919939
11/19/2007,9703.317742
11/20/2007,9155.952451
11/21/2007,8653.177564
11/22/2007,8573.962779
11/23/2007,8806.808104
11/24/2007,8492.542009
11/25/2007,8403.583704
11/26/2007,9340.365403
11/27/2007,8844.394919
11/28/2007,8532.050209
11/29/2007,8942.598409
11/30/2007,9158.234184
12/1/2007,8181.785015
12/2/2007,8245.277131
12/3/2007,9304.124329
12/4/2007,9059.410319
12/5/2007,8870.117854
12/6/2007,9054.528234
12/7/2007,9173.222445
12/8/2007,8595.839883
12/9/2007,8737.046529
12/10/2007,9162.769036
12/11/2007,8528.642682
12/12/2007,8865.031448
12/13/2007,8831.382827
12/14/2007,8539.51282
12/15/2007,8649.441616
12/16/2007,8514.050709
12/17/2007,9021.950817
12/18/2007,8466.140872
12/19/2007,8569.697487
12/20/2007,8894.702068
12/21/2007,9289.503054
12/22/2007,8110.80894
12/23/2007,7352.981078
12/24/2007,7590.403267
12/25/2007,7322.454394
12/26/2007,7745.824354
12/27/2007,7842.306016
12/28/2007,7850.705637
12/29/2007,7820.628175
12/30/2007,8024.920492
12/31/2007,8413.305455
1/1/2008,8181.147599
1/2/2008,8603.026326
1/3/2008,8659.294356
1/4/2008,8842.800163
1/5/2008,8468.012425
1/6/2008,8371.830163
1/7/2008,9083.030241
1/8/2008,8961.976099
1/9/2008,9361.388817
1/10/2008,9502.230871
1/11/2008,9458.390505
1/12/2008,8923.181895
1/13/2008,8994.473033
1/14/2008,9213.212349
1/15/2008,9011.048682
1/16/2008,8983.300486
1/17/2008,8733.211669
1/18/2008,9108.514874
1/19/2008,8654.941723
1/20/2008,8411.860781
1/21/2008,8586.651663
1/22/2008,8368.401575
1/23/2008,8164.097928
1/24/2008,8428.315891
1/25/2008,8823.205289
1/26/2008,8950.987902
