Date,Average Load
2006-01-04,8060.226215624996
2006-01-05,8081.88475645833
2006-01-06,8292.417466041667
2006-01-07,7620.753992291666
2006-01-08,7552.765243333334
2006-01-09,8844.571909583336
2006-01-10,9754.662395625
2006-01-11,9746.58513854167
2006-01-12,9164.433055625002
2006-01-13,8850.31986083333
2006-01-14,8635.826492083332
2006-01-15,7662.240694583335
2006-01-16,9027.49725625
2006-01-17,9099.17975729167
2006-01-18,8585.0247225
2006-01-19,8484.019444583331
2006-01-20,8672.169305625
2006-01-21,8693.989652916667
2006-01-22,8707.004374791666
2006-01-23,10124.172846666668
2006-01-24,9087.451111458337
2006-01-25,8647.444027708332
2006-01-26,8193.16739625
2006-01-27,9484.763229374998
2006-01-28,8544.133229166666
2006-01-29,8231.1465625
2006-01-30,9689.812221874998
2006-01-31,9077.168646041668
2006-02-01,10228.899027916668
2006-02-02,10500.787708125
2006-02-03,9280.078055625
2006-02-04,7981.559097083333
2006-02-05,7731.251701666665
2006-02-06,9778.0552775
2006-02-07,8578.44583416667
2006-02-08,8665.073680625002
2006-02-09,9477.29305479167
2006-02-10,8647.516666041667
2006-02-11,7859.403402916666
2006-02-12,8216.696284791667
2006-02-13,9159.654548541668
2006-02-14,8816.203125416667
2006-02-15,8974.295416458333
2006-02-16,9054.244167083334
2006-02-17,9552.04371520833
2006-02-18,8951.747604375001
2006-02-19,8617.593298958334
2006-02-20,9115.020104374998
2006-02-21,9182.122153125
2006-02-22,9075.217708125
2006-02-23,9057.077292499996
2006-02-24,9251.589132083333
2006-02-25,8427.013264375002
2006-02-26,7924.506805416667
2006-02-27,8589.416285000001
2006-02-28,8855.437465
2006-03-01,8773.265972083336
2006-03-02,8844.469027500001
2006-03-03,8676.284513958335
2006-03-04,7857.560520833333
2006-03-05,7583.755243750001
2006-03-06,9127.36677125
2006-03-07,9063.780207916669
2006-03-08,8856.518541458334
2006-03-09,9345.511388333334
2006-03-10,9186.623263541667
2006-03-11,8223.191700416668
2006-03-12,8360.542048958332
2006-03-13,9551.7484025
2006-03-14,9100.911423958332
2006-03-15,8973.04166666667
2006-03-16,9085.842290625
2006-03-17,8649.852569375002
2006-03-18,7750.328160000001
2006-03-19,7922.901805208331
2006-03-20,8562.167534583334
2006-03-21,8654.462568541667
2006-03-22,8604.659826250001
2006-03-23,8743.386285
2006-03-24,8618.8090625
2006-03-25,7715.406632291666
2006-03-26,7455.703020208333
2006-03-27,8667.960555
2006-03-28,8834.719270208334
2006-03-29,8771.003507291665
2006-03-30,8777.301979791666
2006-03-31,8592.34239625
2006-04-01,7645.410971875003
2006-04-02,7381.204444583332
2006-04-03,8427.823125833334
2006-04-04,8689.560451458334
2006-04-05,8799.137049166666
2006-04-06,8545.303958333332
2006-04-07,8512.275382083337
2006-04-08,7841.128125208332
2006-04-09,7537.21684
2006-04-10,8517.223472083335
2006-04-11,8732.770902500002
2006-04-12,8833.094097083334
2006-04-13,8682.373992916664
2006-04-14,7538.230763958334
2006-04-15,7450.052568958335
2006-04-16,7257.230346249999
2006-04-17,7486.357430625
2006-04-18,8260.149687083334
2006-04-19,8594.75576333333
2006-04-20,8591.018542083335
2006-04-21,8449.814757083333
2006-04-22,7937.824028124999
2006-04-23,7701.481979374999
2006-04-24,8293.628298333331
2006-04-25,7792.540313333332
2006-04-26,8540.706840624998
2006-04-27,8695.480833125
2006-04-28,8612.791111041668
2006-04-29,7993.311215416666
2006-04-30,7720.899409791667
2006-05-01,8678.502639166667
2006-05-02,8828.786979791668
2006-05-03,8774.782049166666
2006-05-04,8745.21388875
2006-05-05,8775.923576250001
2006-05-06,8075.324514375
2006-05-07,7860.871944166668
2006-05-08,9017.488854375
2006-05-09,9342.176840208334
2006-05-10,9098.985138958333
2006-05-11,9203.776318541668
2006-05-12,9191.80454875
2006-05-13,8362.870764166668
2006-05-14,8080.920416874997
2006-05-15,9034.299409583336
2006-05-16,9098.151146666663
2006-05-17,9015.016006458334
2006-05-18,9095.265
2006-05-19,8974.355347083334
2006-05-20,8395.876875
2006-05-21,8126.318472708333
2006-05-22,9277.727465
2006-05-23,9902.46510416667
2006-05-24,9449.705972708334
2006-05-25,9392.587639166666
2006-05-26,9376.698854166669
2006-05-27,8893.88
2006-05-28,8592.626875000002
2006-05-29,9658.252708333335
2006-05-30,10035.06
2006-05-31,9836.418541666666
2006-06-01,9757.372083333334
2006-06-02,10203.019791666668
2006-06-03,9354.692291666668
2006-06-04,8926.769583333333
2006-06-05,10235.58416666667
2006-06-06,10198.55916666667
2006-06-07,9927.067916666669
2006-06-08,9879.79520833333
2006-06-09,9898.344583333334
2006-06-10,9241.971875
2006-06-11,9188.214166666668
2006-06-12,9370.355
2006-06-13,10271.835625
2006-06-14,10363.083125
2006-06-15,10499.345624999998
2006-06-16,10337.07291666667
2006-06-17,9590.899791666665
2006-06-18,9260.271666666666
2006-06-19,10206.235416666665
2006-06-20,10079.849374999998
2006-06-21,10150.651666666668
2006-06-22,10011.335833333333
2006-06-23,10041.371666666664
2006-06-24,9202.322083333333
2006-06-25,9274.431875
2006-06-26,10247.976458333333
2006-06-27,10393.637916666668
2006-06-28,10307.87625
2006-06-29,10136.545625
2006-06-30,10479.758958333334
2006-07-01,9423.55
2006-07-02,9114.499791666663
2006-07-03,9955.929166666663
2006-07-04,10104.561666666666
2006-07-05,9935.160833333335
2006-07-06,9957.159583333332
2006-07-07,10084.31541666667
2006-07-08,9494.664791666666
2006-07-09,9274.830416666666
2006-07-10,10073.708749999998
2006-07-11,9839.46625
2006-07-12,9844.58125
2006-07-13,10189.554791666667
