date,avg_load
7/2/2015,84085.66667
7/3/2015,79334.16667
7/4/2015,76496.79167
7/5/2015,80533.83333
7/6/2015,92807.25
7/7/2015,89285.41667
7/8/2015,84724.91667
7/9/2015,87921.91667
7/10/2015,90475.58333
7/11/2015,88099.79167
7/12/2015,92029.41667
7/13/2015,102126.6667
7/14/2015,102273.375
7/15/2015,95569.45833
7/16/2015,95535.16667
7/17/2015,102867
7/18/2015,99481.29167
7/19/2015,95345.375
7/20/2015,100181.5417
7/21/2015,97803.5
7/22/2015,95543.125
7/23/2015,98822.16667
7/24/2015,101165.0833
7/25/2015,97296.54167
7/26/2015,94758.08333
7/27/2015,105470.875
7/28/2015,107521.625
7/29/2015,106031.0833
7/30/2015,100749.3333
7/31/2015,98522.29167
8/1/2015,90678.41667
8/2/2015,93147.45833
8/3/2015,97930.33333
8/4/2015,96131.45833
8/5/2015,95001.54167
8/6/2015,94121
8/7/2015,95381.16667
8/8/2015,90592.54167
8/9/2015,90469.29167
8/10/2015,99918.33333
8/11/2015,97512.79167
8/12/2015,95284.04167
8/13/2015,97244.83333
8/14/2015,100018.8333
8/15/2015,94773.75
8/16/2015,92973.16667
8/17/2015,98257.41667
8/18/2015,95776.625
8/19/2015,90542.625
8/20/2015,85076.16667
8/21/2015,85572.33333
8/22/2015,81783.5
8/23/2015,80647.25
8/24/2015,85163.95833
8/25/2015,82721.33333
8/26/2015,82377.54167
8/27/2015,83271.04167
8/28/2015,84286.20833
8/29/2015,81142.58333
8/30/2015,83604.91667
8/31/2015,95495.16667
9/1/2015,100284.9583
9/2/2015,101564.7083
9/3/2015,101530.1667
9/4/2015,99848.79167
9/5/2015,92812.79167
9/6/2015,92483.08333
9/7/2015,91996.66667
9/8/2015,97169.5
9/9/2015,89905.25
9/10/2015,87158.29167
9/11/2015,79755.41667
9/12/2015,70489.04167
9/13/2015,67522.29167
9/14/2015,78819.83333
9/15/2015,85079.29167
9/16/2015,88664.91667
9/17/2015,90814.83333
9/18/2015,88053.08333
9/19/2015,77699.25
9/20/2015,72251.08333
9/21/2015,80402
9/22/2015,82357.95833
9/23/2015,83434.54167
9/24/2015,84000.66667
9/25/2015,82940.5
9/26/2015,75347.08333
9/27/2015,73960.08333
9/28/2015,84615
9/29/2015,82498.79167
9/30/2015,78346.04167
6/1/2016,83093.83333
6/2/2016,82936.79167
6/3/2016,81208.5
6/4/2016,74473.5
6/5/2016,73298.04167
6/6/2016,82255.91667
6/7/2016,80614.29167
6/8/2016,80464.83333
6/9/2016,84857.54167
6/10/2016,91504.83333
6/11/2016,91165.41667
6/12/2016,84496.125
6/13/2016,89077.75
6/14/2016,90844.66667
6/15/2016,95261.45833
6/16/2016,95216.66667
6/17/2016,94231.41667
6/18/2016,87414.58333
6/19/2016,88339.25
6/20/2016,99307.625
6/21/2016,94673.5
6/22/2016,95359.29167
6/23/2016,96516.54167
6/24/2016,93661.58333
6/25/2016,93472.625
6/26/2016,93263.66667
6/27/2016,97814.95833
6/28/2016,89529.08333
6/29/2016,86764.83333
6/30/2016,87538.875
7/1/2016,86003.33333
7/2/2016,77155.33333
7/3/2016,75556.04167
7/4/2016,77523.16667
7/5/2016,94545.5
7/6/2016,97144.95833
7/7/2016,96564.95833
7/8/2016,96166.25
7/9/2016,86415.79167
7/10/2016,85136.25
7/11/2016,98168.125
7/12/2016,100391.75
7/13/2016,100488.5
7/14/2016,95120.58333
7/15/2016,89069.125
7/16/2016,83619.33333
7/17/2016,86775.5
7/18/2016,99231.20833
7/19/2016,101441.2917
7/20/2016,103471.5417
7/21/2016,107524.8333
7/22/2016,105296.7917
7/23/2016,98851.66667
7/24/2016,96654.66667
7/25/2016,101550.7917
7/26/2016,100100.3333
7/27/2016,98565.79167
7/28/2016,95540
7/29/2016,91861.70833
7/30/2016,86147.08333
7/31/2016,86571.95833
8/1/2016,96606.625
8/2/2016,101006
8/3/2016,103479.4167
8/4/2016,104932.7083
8/5/2016,99419.83333
8/6/2016,89208.16667
8/7/2016,85501.79167
8/8/2016,93794.83333
8/9/2016,100403.25
8/10/2016,104472.375
8/11/2016,105281.5417
8/12/2016,100810.25
8/13/2016,88109.5
8/14/2016,82435.66667
8/15/2016,89899.66667
8/16/2016,92639.58333
8/17/2016,94009.16667
8/18/2016,95286.45833
8/19/2016,93139.04167
8/20/2016,83395.79167
8/21/2016,76495.04167
8/22/2016,84291.75
8/23/2016,89117.20833
8/24/2016,95300.625
8/25/2016,95903.54167
8/26/2016,91007.625
8/27/2016,85297.16667
8/28/2016,87832.58333
8/29/2016,97139.04167
8/30/2016,97197.45833
8/31/2016,93443.66667
9/1/2016,87417.20833
9/2/2016,82573.375
9/3/2016,75779.125
9/4/2016,75890.45833
9/5/2016,83665.375
9/6/2016,98766.41667
9/7/2016,99735.45833
9/8/2016,95684.45833
9/9/2016,90584
9/10/2016,79876
9/11/2016,73033.5
9/12/2016,81990.375
9/13/2016,84994.33333
9/14/2016,85748.875
9/15/2016,85760.79167
9/16/2016,84303.20833
9/17/2016,78696.875
9/18/2016,77246
9/19/2016,86972.375
9/20/2016,88947.58333
9/21/2016,88575.79167
9/22/2016,89197.875
9/23/2016,87607.75
9/24/2016,81196.95833
9/25/2016,78668.875
9/26/2016,78223.66667
9/27/2016,76229.79167
9/28/2016,75617.125
9/29/2016,74678.5
9/30/2016,72839.70833
6/1/2017,79340.08333
6/2/2017,82763.625
6/3/2017,80550.95833
6/4/2017,79947.41667
6/5/2017,84990.58333
6/6/2017,81839.70833
6/7/2017,80887.58333
6/8/2017,81968.625
6/9/2017,84092
6/10/2017,83979.875
6/11/2017,86229.58333
6/12/2017,98159.16667
6/13/2017,99522.16667
6/14/2017,98423
6/15/2017,96490.66667
6/16/2017,94955.375
6/17/2017,87516.95833
