日期,归一化
2016/11/3,0.718471624
2016/11/4,0.696268038
2016/11/5,0.670178058
2016/11/6,0.637644845
2016/11/7,0.628440226
2016/11/8,0.665381429
2016/11/9,0.685519089
2016/11/10,0.691205498
2016/11/11,0.6754656
2016/11/12,0.673808769
2016/11/13,0.668418953
2016/11/14,0.659981386
2016/11/15,0.687135011
2016/11/16,0.67635538
2016/11/26,0.669789419
2016/11/27,0.68667478
2016/12/24,0.731347863
2017/1/19,0.753459403
2017/2/5,0.754502593
2017/2/15,0.733914929
2017/2/16,0.771387954
2017/2/17,0.727819426
2017/2/18,0.685682727
2017/2/19,0.63901531
2017/2/20,0.647350604
2017/2/21,0.669288278
2017/2/26,0.738660421
2017/2/27,0.703243094
2017/3/4,0.746095708
2017/3/5,0.68161224
2017/3/6,0.661914356
2017/3/19,0.682287245
2017/3/23,0.745809342
2017/3/25,0.677695163
2017/3/26,0.648444931
2017/3/29,0.706771531
2017/3/31,0.69579758
2017/4/1,0.687850926
2017/4/2,0.657680232
2017/4/3,0.651564274
2017/4/4,0.681540649
2017/4/7,0.710074967
2017/4/8,0.680497459
2017/4/9,0.634586866
2017/4/10,0.65552226
2017/4/11,0.687574788
2017/4/12,0.682491793
2017/4/13,0.678625853
2017/4/14,0.680517913
2017/4/15,0.65656545
2017/4/16,0.660727983
2017/4/17,0.634167545
2017/4/18,0.683054297
2017/4/19,0.689231619
2017/4/20,0.713879542
2017/4/21,0.701146486
2017/4/22,0.676253107
2017/4/23,0.638074394
2017/4/24,0.633287992
2017/4/25,0.660462072
2017/4/26,0.696165765
2017/4/27,0.702373769
2017/4/28,0.687421377
2017/4/29,0.697914643
2017/4/30,0.682522475
2017/5/1,0.651001769
2017/5/2,0.694836209
2017/5/3,0.690806631
2017/5/4,0.677030385
2017/5/5,0.686245231
2017/5/6,0.6674269
2017/5/7,0.634750504
2017/5/8,0.658784786
2017/5/9,0.706955624
2017/5/10,0.720834143
2017/5/11,0.729987625
2017/5/12,0.705247655
2017/5/13,0.674442865
2017/5/14,0.661587081
2017/5/18,0.778976651
2017/5/19,0.770804995
2017/5/20,0.720547777
2017/5/21,0.684557718
2017/5/22,0.658958651
2017/5/23,0.691379363
2017/5/24,0.696237356
2017/5/25,0.678748581
2017/5/26,0.706188572
2017/5/27,0.734641071
2017/5/28,0.702516952
2017/5/29,0.670720108
2017/5/30,0.675803103
2017/5/31,0.716528427
2017/6/4,0.774926619
2017/6/5,0.779038015
2017/6/6,0.778547102
2017/6/7,0.750432106
2017/6/18,0.846681735
2017/6/19,0.765108359
2017/6/20,0.796383608
2017/6/23,0.874234227
2017/6/24,0.780275525
2017/6/25,0.705891979
2017/6/26,0.706188572
2017/6/27,0.736533132
2017/7/7,0.935066529
2017/7/14,0.897235546
2017/7/16,0.834674821
2017/7/23,0.930188081
2017/8/3,0.864415967
2017/8/4,0.834398683
2017/8/6,0.730028534
2017/8/7,0.745788887
2017/8/11,0.847223785
2017/8/12,0.805516635
2017/8/22,0.902042403
2017/8/23,0.812461008
2017/8/24,0.782903955
2017/8/25,0.767061783
2017/8/26,0.748979821
2017/8/27,0.732237643
2017/8/28,0.744111601
2017/8/29,0.764474263
2017/8/30,0.778813013
2017/8/31,0.790216513
2017/9/1,0.749184369
2017/9/2,0.699898749
2017/9/4,0.725497816
2017/9/5,0.742485452
2017/9/6,0.707569265
2017/9/7,0.675895149
2017/9/8,0.684578173
2017/9/9,0.690765722
2017/9/10,0.672857625
2017/9/11,0.678145167
2017/9/12,0.708418135
2017/9/13,0.729241028
2017/9/17,0.764699265
2017/9/18,0.751260521
2017/9/26,0.824856561
2017/9/27,0.815968991
2017/9/28,0.7394377
2017/9/29,0.720905734
2017/9/30,0.696227129
2017/10/1,0.658529102
2017/10/3,0.746177526
2017/10/4,0.764157215
