date,season
2007-12-01,-1156.090202303244
2007-12-02,-934.935598429699
2007-12-03,125.14442092275529
2007-12-04,299.99975510153934
2007-12-05,-45.507778497991374
2007-12-06,506.33048832850824
2007-12-07,414.3239341163206
2007-12-08,-1063.6114805390148
2007-12-09,-653.6978458951911
2007-12-10,125.69634044221215
2007-12-11,-63.01312306417169
2007-12-12,-179.90670838779013
2007-12-13,-140.2205108671564
2007-12-14,-237.6142297578225
2007-12-15,-900.0263800569263
2007-12-16,-1000.4815649006244
2007-12-17,-432.6282158618428
2007-12-18,-472.77533045763533
2007-12-19,0.06821743602361341
2007-12-20,44.7859042987666
2007-12-21,139.78709149035276
2007-12-22,-1201.1254025660128
2007-12-23,-1563.0473181557936
2007-12-24,-1324.6905866301718
2007-12-25,-2214.4003720524474
2007-12-26,-2058.5658303281566
2007-12-27,-1043.3908064619952
2007-12-28,-774.2872791278079
2007-12-29,-857.4633619779356
2007-12-30,-1020.6051717122759
2007-12-31,-665.5538198264792
2008-01-01,-1085.6015655435856
2008-01-02,-316.72307698235466
2008-01-03,-477.3156592989296
2008-01-04,-570.4932306748152
2008-01-05,-996.461738173085
2008-01-06,-224.12106188598665
2008-01-07,505.1835313322945
2008-01-08,476.3927779844174
2008-01-09,191.29858762471144
2008-01-10,246.75219453247163
2008-01-11,87.20199208669594
2008-01-12,-619.0170390842101
2008-01-13,-424.45972610009244
2008-01-14,-11.442296716056639
2008-01-15,644.1710335276856
2008-01-16,969.4166669298495
2008-01-17,169.6286096196875
2008-01-18,-409.5910989891449
2008-01-19,-1139.4796221172326
2008-01-20,-643.873458048923
2008-01-21,121.8114812051726
2008-01-22,39.79144087844571
2008-01-23,-93.58091483217116
2008-01-24,383.16594530948856
2008-01-25,351.52454247570176
2008-01-26,-1019.2099872975472
2008-01-27,-893.1360367624861
2008-01-28,-329.92040847733085
2008-01-29,1146.196268901816
2008-01-30,1475.9781656737011
2008-01-31,1480.0651499275255
2008-02-01,362.98968890861767
2008-02-02,-503.80870127299534
2008-02-03,-286.5881035966802
2008-02-04,391.70907354161324
2008-02-05,477.6248733251663
2008-02-06,695.5054026434116
2008-02-07,756.7911523310245
2008-02-08,269.6525199424804
2008-02-09,-724.2514784372518
2008-02-10,-1170.137580582179
2008-02-11,-460.9032147823543
2008-02-12,-341.38920044759055
2008-02-13,-564.519609950645
2008-02-14,-260.4329453955389
2008-02-15,-455.03453909311025
2008-02-16,-1425.237368899677
2008-02-17,-1178.0274088449353
2008-02-18,-203.80495899892068
2008-02-19,32.80559633238571
2008-02-20,273.059599921428
