date,resid
2007-12-01,272.111798642125
2007-12-02,-203.50801710652013
2007-12-03,-44.258352375958566
2007-12-04,-38.487857620863
2007-12-05,58.65373413890484
2007-12-06,-134.07120505854255
2007-12-07,4.699612638027247
2007-12-08,483.30814144186843
2007-12-09,141.47084597127832
2007-12-10,-19.63273095609111
2007-12-11,59.14765586637441
2007-12-12,53.480607331317515
2007-12-13,-4.4163168564573425
2007-12-14,143.4761693723758
2007-12-15,394.16033615985543
2007-12-16,53.46412714152393
2007-12-17,204.359107802602
2007-12-18,314.19032674585833
2007-12-19,-49.101038414906725
2007-12-20,32.77384152856939
2007-12-21,340.5174932471764
2007-12-22,407.62378103379524
2007-12-23,43.10991932392426
2007-12-24,78.23848532875672
2007-12-25,45.62424698538052
2007-12-26,64.48513176651431
2007-12-27,-77.05624315537534
2007-12-28,-39.878084457734076
2007-12-29,-27.707048986154405
2007-12-30,16.08467133801605
2007-12-31,47.291958424817494
2008-01-01,-6.5762387860741
2008-01-02,163.07956298411227
2008-01-03,250.12169347805684
2008-01-04,229.38742674648165
2008-01-05,190.02148860572015
2008-01-06,-220.94371225068062
2008-01-07,-217.1747562102355
2008-01-08,-353.30234884461606
2008-01-09,146.77808576436837
2008-01-10,385.3776302947117
2008-01-11,559.7027102603752
2008-01-12,511.93358276471736
2008-01-13,240.9049015423643
2008-01-14,-32.47436246718644
2008-01-15,-424.0689105704132
2008-01-16,-328.20427394910257
2008-01-17,-194.6965046477053
2008-01-18,181.0763511014502
2008-01-19,219.89482492606658
2008-01-20,-264.609132365762
2008-01-21,-403.3735320587639
2008-01-22,-340.13145778151556
2008-01-23,-159.41366432920222
2008-01-24,-485.78165342716966
2008-01-25,-470.90145612710694
2008-01-26,254.17994302609804
2008-01-27,155.87596212605422
2008-01-28,-166.80302799179117
2008-01-29,-128.628454435373
2008-01-30,-169.8746657810625
2008-01-31,-346.7908931472666
2008-02-01,-296.0522668966423
2008-02-02,-51.255793113434265
2008-02-03,-578.6114903775015
2008-02-04,-325.070677907368
2008-02-05,-319.77704930256914
2008-02-06,-506.23898717570773
2008-02-07,-828.049678320267
2008-02-08,-667.2186776455928
2008-02-09,-379.36291143063136
2008-02-10,-229.3981423485493
2008-02-11,141.71222168855456
2008-02-12,307.3839974291659
2008-02-13,314.9154200068624
2008-02-14,75.23790781122443
2008-02-15,219.83158293571068
2008-02-16,370.87734068251484
2008-02-17,-79.81300929192003
2008-02-18,57.59208621963626
2008-02-19,5.85618060176057
2008-02-20,-78.82127385557396
2008-02-21,-129.88482694450613
2008-02-22,290.4557022243898
2008-02-23,470.95664631506224
2008-02-24,-210.10592876883493
2008-02-25,-209.5767017720027
2008-02-26,-52.52114240878291
2008-02-27,12.543129663856234
2008-02-28,-42.78175060448848
2008-02-29,40.1854825615319
2008-03-01,54.6160874344514
2008-03-02,-342.0454068928266
2008-03-03,-212.494623519764
2008-03-04,-30.169657643125902
2008-03-05,108.57749755167242
2008-03-06,119.29970257695459
2008-03-07,195.9731324761833
2008-03-08,316.4628812530518
2008-03-09,-112.50393428618372
2008-03-10,-4.344969812236741
2008-03-11,19.372301893086842
2008-03-12,-31.306035553661786
2008-03-13,-73.50875867410468
2008-03-14,135.30753829748755
2008-03-15,249.02368303308504
2008-03-16,-38.06630881014462
2008-03-17,114.85292162680707
2008-03-18,133.80844952251027
2008-03-19,50.34469401566457
2008-03-20,-52.275173026135235
2008-03-21,-63.36227486828284
2008-03-22,156.66708162309442
2008-03-23,-237.5789930471783
2008-03-24,-295.24724369609976
2008-03-25,-87.67915655281286
2008-03-26,-45.814129131007576
2008-03-27,-32.43158240741468
2008-03-28,215.57577763110385
2008-03-29,300.0138016730325
2008-03-30,-137.94616783077254
2008-03-31,-56.61051847193812
2008-04-01,-70.7355284926507
2008-04-02,-267.125500058517
2008-04-03,-286.88826056061407
2008-04-04,10.371821192371499
2008-04-05,13.947863287387008
2008-04-06,-157.1983100980142
2008-04-07,-15.48422472882703
2008-04-08,39.76193465037613
2008-04-09,48.717334211423804
2008-04-10,277.106443577577
2008-04-11,177.26071245724052
2008-04-12,290.23091130024295
2008-04-13,193.98253860056502
2008-04-14,62.507686536026085
2008-04-15,81.90041898345771
2008-04-16,66.04744304600354
2008-04-17,7.504506772669629
2008-04-18,155.28650657603612
2008-04-19,282.0994598550551
2008-04-20,-23.94743924551949
2008-04-21,50.5213535898929
2008-04-22,95.31842069885897
2008-04-23,53.59810517977348
2008-04-24,-74.63181526401604
2008-04-25,-24.11374870243526
2008-04-26,-7.176041240803897
2008-04-27,-196.35616203377322
2008-04-28,-29.696695173024636
2008-04-29,-10.500769814734667
2008-04-30,-16.08087753383552
2008-05-01,-105.32753652996871
2008-05-02,34.037270884249665
2008-05-03,183.66812069594198
2008-05-04,-121.78836448492802
2008-05-05,-39.45533592996799
2008-05-06,21.73553109112254
2008-05-07,-24.70175103593101
2008-05-08,-93.05556798842372
2008-05-09,32.57577346492144
2008-05-10,143.41997374247148
2008-05-11,-217.5391367431639
2008-05-12,-119.4264823037538
2008-05-13,-22.733942456492514
2008-05-14,-31.897306161412416
2008-05-15,-90.46752121828649
2008-05-16,97.83428405600716
2008-05-17,206.19275401934283
2008-05-18,-60.18146085468288
2008-05-19,24.9558597872674
2008-05-20,56.49435066281876
2008-05-21,33.27376611793443
2008-05-22,-13.94964757204616
2008-05-23,226.90783759504302
2008-05-24,351.43282298021404
2008-05-25,29.309937256102785
2008-05-26,88.40931357308546
2008-05-27,32.908419126726585
2008-05-28,12.64801113903195
2008-05-29,-94.8651624232316
