date,season_norm
2007-12-01,-1.6579350236464132
2007-12-02,-1.3335994467717303
2007-12-03,0.2210671013712076
2007-12-04,0.4775022136735445
2007-12-05,-0.029203879086017116
2007-12-06,0.780097756411646
2007-12-07,0.6451650065887007
2007-12-08,-1.5223098137403828
2007-12-09,-0.9211485770653265
2007-12-10,0.22187652216822523
2007-12-11,-0.05487644447158154
2007-12-12,-0.22630741522615844
2007-12-13,-0.1681053903016523
2007-12-14,-0.310938717969734
2007-12-15,-1.2824031285361328
2007-12-16,-1.4297262669907294
2007-12-17,-0.5969376190726239
2007-12-18,-0.6558156046275877
2007-12-19,0.037635864125248615
2007-12-20,0.1032168491515527
2007-12-21,0.24254139547291753
2007-12-22,-1.7239816598052693
2007-12-23,-2.2547603604084068
2007-12-24,-1.9051969026857247
2007-12-25,-3.2100059885096104
2007-12-26,-2.9814659305506557
2007-12-27,-1.4926550659906361
2007-12-28,-1.09799971517166
2007-12-29,-1.2199820856078543
2007-12-30,-1.4592386601751295
2007-12-31,-0.9385360249278827
2008-01-01,-1.5545595014274585
2008-01-02,-0.42695626022777705
2008-01-03,-0.6624742504262706
2008-01-04,-0.799124362314784
2008-01-05,-1.4238309666091091
2008-01-06,-0.2911502337648962
2008-01-07,0.7784156799253246
2008-01-08,0.7361924323320719
2008-01-09,0.3180858811937221
2008-01-10,0.39941169250938585
2008-01-11,0.16542241060272397
2008-01-12,-0.8702872371406527
2008-01-13,-0.5849580726708357
2008-01-14,0.020755052320969785
2008-01-15,0.9822486135986797
2008-01-16,1.4592394982007488
2008-01-17,0.2863056482977346
2008-01-18,-0.5631524006798461
2008-01-19,-1.6335746801921405
2008-01-20,-0.9067405636495988
2008-01-21,0.21617915914863092
2008-01-22,0.09589218963175579
2008-01-23,-0.09970581814597353
2008-01-24,0.5994700759975332
2008-01-25,0.5530661917397655
2008-01-26,-1.4571925443173905
2008-01-27,-1.2722980553062548
2008-01-28,-0.44631088386508105
2008-01-29,1.718496656681785
2008-01-30,2.2021402248414406
2008-01-31,2.208134015485744
2008-02-01,0.5698804692503469
2008-02-02,-0.7013277759750175
2008-02-03,-0.38276163888164144
2008-02-04,0.6119990506376674
2008-02-05,0.7379993689551724
2008-02-06,1.0575333326550689
2008-02-07,1.147412307051166
2008-02-08,0.43299629858306315
2008-02-09,-1.0246194192288387
2008-02-10,-1.6785362883629298
2008-02-11,-0.6384044839960366
2008-02-12,-0.4631305077597607
2008-02-13,-0.7903637139282275
2008-02-14,-0.34440363875487806
2008-02-15,-0.6297977433638147
2008-02-16,-2.0526543738804905
2008-02-17,-1.6901071621146986
2008-02-18,-0.26135553433603137
2008-02-19,0.08564705848314641
2008-02-20,0.437992971639266
2008-02-21,0.6305259727487732
2008-02-22,0.20269899290495266
2008-02-23,-1.84969112095614
2008-02-24,-1.4858931900295362
2008-02-25,0.023181750944956912
2008-02-26,0.4033361660684753
2008-02-27,-0.013135405031845983
2008-02-28,-0.11890576696703249
2008-02-29,-0.7113654879587586
2008-03-01,-1.7490770425481204
2008-03-02,-1.4979052829167903
2008-03-03,-0.11919884817077044
2008-03-04,0.058325689075966525
2008-03-05,-0.2198909445338693
2008-03-06,0.25234004396137116
2008-03-07,-0.21331149228533966
2008-03-08,-1.8255494236870138
2008-03-09,-1.438397336543865
2008-03-10,0.19183970300971345
2008-03-11,0.5196029300621946
2008-03-12,0.5481689380288051
2008-03-13,0.8728858033878065
2008-03-14,0.46148936528827195
2008-03-15,-0.8573394550223429
2008-03-16,-1.0630445670562576
2008-03-17,0.25543810140041096
2008-03-18,0.4761309700575629
2008-03-19,0.3290500316707815
2008-03-20,0.6361093267070134
2008-03-21,-1.9253126152625688
2008-03-22,-2.1616697271563217
2008-03-23,-2.0172762058272395
2008-03-24,-1.2784474221149764
2008-03-25,-0.07947066552338845
2008-03-26,-0.15152495599469712
2008-03-27,-0.4433778141422126
2008-03-28,-0.8904183069272164
2008-03-29,-2.0542142326533224
2008-03-30,-1.8649739251092035
2008-03-31,-0.48602507473555573
2008-04-01,-0.23668233588212523
2008-04-02,0.08892390586381894
2008-04-03,-0.011891736203310611
2008-04-04,-0.5056692068682044
2008-04-05,-1.5706155313033003
2008-04-06,-1.6603009891537743
2008-04-07,-0.38513226356167174
2008-04-08,-0.34758414146148225
2008-04-09,-0.382776661988353
2008-04-10,-0.6313673739228337
2008-04-11,-0.5987212350115702
2008-04-12,-1.8794759917794717
2008-04-13,-2.0986115260158615
2008-04-14,-0.5279444087530408
2008-04-15,-0.2851507432024663
2008-04-16,-0.3907188917442094
2008-04-17,-0.14459108554342595
2008-04-18,-0.42732400567506484
2008-04-19,-1.6169004285515747
2008-04-20,-1.5395137608842202
2008-04-21,-0.3405170236307569
2008-04-22,-0.1178496838282469
2008-04-23,-0.12431223294026639
2008-04-24,0.016115513544638478
2008-04-25,-1.485428978356297
2008-04-26,-1.5842642941806022
2008-04-27,-1.5118425086968195
2008-04-28,0.1355418091425334
2008-04-29,0.717858621954872
2008-04-30,0.6564539207471278
2008-05-01,0.6921981789654353
2008-05-02,0.029090178807175973
2008-05-03,-1.0386497275797928
2008-05-04,-0.8647787208894187
2008-05-05,0.2922782770838076
2008-05-06,0.4094055487649336
2008-05-07,0.14649314853562342
2008-05-08,0.44701520670224404
2008-05-09,0.09910909997539794
2008-05-10,-1.069590216575371
2008-05-11,-1.0208160372302164
2008-05-12,0.08915670609256089
2008-05-13,0.2917207490131523
2008-05-14,0.32110030352068497
2008-05-15,0.3936706834895407
2008-05-16,-0.04942740671921404
